Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
248,233,609,248,264
248,233,79,248,165
114,85,79,418,630
129,85,381,609,582
408,85,609,248,370
126,205,609,381,436
408,233,609,418,38
17,233,609,200,585
612,233,79,248,392
214,85,79,418,135
583,87,609,433,387
214,233,159,418,111
214,233,609,418,167
98,233,609,418,151
583,609,79,79,602
98,233,609,418,622
98,381,381,248,206
383,205,609,609,3
408,233,609,418,143
223,233,609,98,262
114,18,609,248,627
383,233,79,200,91
214,85,79,418,231
223,233,79,200,267
579,607,79,214,211
408,233,609,248,99
408,225,609,15,176
408,85,79,418,174
87,233,79,418,265
98,85,79,418,55
114,233,159,248,373
410,233,609,418,617
214,233,609,418,142
408,138,79,418,435
114,85,159,248,632
114,381,609,248,153
408,607,609,418,117
248,64,159,248,593
223,381,609,200,249
114,233,609,248,386
225,233,79,248,132
383,381,79,71,397
114,205,27,71,57
382,233,609,418,439
114,233,609,248,570
577,233,79,418,16
410,233,609,248,431
248,18,159,418,453
583,205,381,577,369
577,205,79,433,141
248,233,79,248,595
114,381,609,418,7
125,205,609,418,216
138,233,79,433,637
114,233,79,418,182
98,18,159,248,642
114,233,609,248,14
98,233,609,248,388
579,85,609,418,127
410,85,609,200,574
85,233,79,98,204
248,233,79,418,639
214,85,609,418,377
214,233,159,418,371
114,233,609,248,163
98,233,79,418,59
248,225,79,200,110
408,85,609,418,65
200,85,609,418,391
214,53,79,418,34
114,233,79,418,563
114,225,79,248,9
98,233,609,248,636
577,85,79,200,226
114,233,609,248,640
577,205,79,200,76
223,233,609,98,224
248,233,79,200,83
223,233,79,248,100
608,233,79,248,606
382,233,79,200,94
214,233,79,418,5
223,205,609,200,195
223,233,79,248,29
383,233,79,200,384
205,85,79,248,378
18,85,418,237,603
214,233,79,418,103
114,233,609,248,443
248,233,79,248,247
223,233,609,418,74
87,233,79,98,30
87,233,418,583,616
114,233,609,248,432
200,233,609,418,46
214,85,159,418,232
408,85,609,418,561
583,233,609,200,611
114,233,609,248,243
205,381,79,248,635
87,233,79,248,427
225,85,418,79,215
410,233,609,248,208
412,85,418,577,411
408,64,609,418,402
114,85,609,248,405
223,233,79,418,150
214,85,609,418,67
98,381,609,248,648
214,233,79,418,120
408,18,609,418,394
87,233,159,248,259
114,233,79,418,229
114,383,609,418,82
71,381,79,200,621
608,85,79,248,560
223,233,79,418,451
393,381,418,583,107
575,159,418,424,442
214,53,79,418,28
114,233,79,418,88
577,233,79,200,455
114,85,79,418,105
214,233,79,418,250
214,233,79,418,40
248,233,79,200,592
114,18,79,248,47
577,53,79,200,106
114,233,609,418,404
225,381,418,599,401
223,126,79,200,54
408,18,609,418,43
214,85,79,418,235
114,64,609,248,63
428,233,418,64,643
214,85,79,418,201
114,53,79,418,8
114,223,609,200,421
223,381,381,95,42
214,53,79,418,4
214,233,79,418,590
223,205,418,71,161
223,87,609,248,73
579,233,609,248,416
98,233,609,433,380
214,233,159,418,92
114,53,79,418,41
114,85,79,248,124
214,85,609,418,430
579,85,609,200,374
408,159,79,418,113
214,85,79,418,625
214,607,79,200,614
579,233,609,418,50
87,233,79,433,52
408,233,609,418,395
214,233,159,418,119
383,64,79,53,429
577,18,79,418,629
583,205,418,577,202
214,85,609,418,90
114,609,27,220,86
223,233,79,248,613
126,233,418,237,566
125,225,609,248,133
583,85,609,98,33
98,233,609,248,623
87,233,79,433,37
114,233,609,418,185
408,233,609,15,108
410,85,609,200,61
125,233,79,248,10
114,53,79,248,145
577,381,79,200,2
214,233,79,418,196
612,381,418,615,584
18,381,609,433,258
71,233,79,418,448
125,64,79,418,146
214,233,79,418,240
114,85,79,418,51
205,85,79,248,596
577,381,79,248,136
223,233,79,248,246
17,233,79,200,239
