Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
115,19,231,231,240
16,19,231,231,625
173,19,231,231,109
173,231,231,231,595
16,24,77,231,139
16,19,231,144,605
16,19,231,231,229
196,62,231,67,212
48,254,70,121,132
26,24,248,173,261
90,196,248,173,647
262,196,248,144,3
262,19,231,144,635
70,121,248,67,258
262,19,231,231,451
262,19,231,67,2
262,11,248,144,601
262,262,231,121,52
16,19,231,16,188
173,24,231,53,56
262,168,248,196,137
262,179,231,144,204
67,231,77,231,623
16,11,231,144,41
16,19,77,144,180
195,231,77,144,640
16,19,231,231,219
262,19,231,231,634
90,138,168,144,96
11,19,70,231,392
16,70,231,16,156
195,19,231,231,613
262,255,231,231,6
11,24,70,144,602
195,19,77,26,82
16,11,231,16,34
173,11,231,231,235
26,19,77,144,73
16,19,231,231,260
173,19,231,231,594
90,20,231,231,452
173,70,77,24,197
173,70,231,231,232
16,11,231,231,105
262,231,77,262,369
173,19,231,24,5
16,19,231,231,182
16,19,77,231,108
262,196,248,67,194
115,19,248,231,386
11,65,70,121,175
67,11,77,16,600
262,196,231,20,259
217,231,231,144,141
16,19,231,16,447
67,11,231,231,446
16,19,231,231,230
195,255,248,217,46
26,19,231,231,399
262,19,231,20,591
173,19,231,173,89
173,19,77,231,617
16,19,231,231,196
267,133,248,168,401
90,19,231,231,247
267,133,248,90,436
262,10,231,77,77
262,196,231,67,203
195,231,231,20,29
173,10,248,231,12
16,19,77,231,90
16,11,231,70,28
16,19,77,231,402
115,19,231,231,373
262,113,231,231,621
11,19,70,231,560
90,179,231,231,136
262,262,231,53,580
67,19,231,231,187
195,231,77,77,405
16,11,231,16,590
152,173,248,152,44
16,19,77,231,160
16,11,77,16,430
173,19,231,70,619
262,231,248,217,400
262,196,231,144,152
144,196,231,11,183
20,195,248,195,643
16,11,231,231,255
16,19,231,16,174
217,195,231,196,266
16,19,248,20,208
90,19,70,144,606
262,19,231,77,581
16,11,231,16,120
16,11,77,70,43
217,10,231,196,130
195,195,248,196,78
16,19,231,231,420
16,65,231,16,409
90,19,70,231,157
11,19,70,77,419
11,231,70,20,213
90,19,231,144,592
67,19,231,231,10
195,262,77,231,450
195,152,248,67,128
173,231,231,231,630
262,255,248,67,262
90,62,231,77,422
262,24,231,53,54
195,133,77,144,631
16,11,77,70,168
195,65,248,217,86
262,10,248,144,438
16,231,77,24,32
16,11,77,231,589
26,19,77,173,574
90,231,231,121,565
115,262,77,231,209
26,11,77,53,148
173,24,231,144,453
26,19,77,231,210
67,11,77,70,133
26,231,77,231,195
90,231,77,144,264
262,19,231,10,569
144,20,248,249,215
26,70,77,144,440
16,19,231,24,236
16,11,231,16,242
262,113,77,231,648
16,19,231,70,119
16,11,231,231,51
196,113,231,77,179
16,19,77,16,142
26,70,77,231,67
26,262,231,231,563
262,19,231,67,562
16,19,231,16,437
26,24,231,144,154
16,11,231,16,113
262,24,77,231,249
16,19,231,24,162
19,231,248,144,566
173,11,231,231,254
67,19,231,231,59
262,152,231,144,587
16,19,77,16,561
173,65,248,53,454
16,11,231,16,173
173,262,231,77,368
196,62,231,144,49
26,19,65,231,620
11,70,231,231,596
173,11,231,16,633
195,196,248,144,391
262,231,231,144,37
16,231,77,231,14
262,11,70,144,397
16,11,77,231,627
196,262,231,152,638
173,152,77,217,559
115,262,231,231,88
115,11,231,231,145
173,231,231,231,632
16,19,77,231,385
262,19,231,77,30
16,11,77,231,238
173,19,77,231,416
16,19,231,16,371
26,19,77,231,243
173,231,77,173,185
217,249,248,249,628
173,11,248,67,33
16,19,77,231,39
16,11,231,16,103
195,231,248,196,586
262,168,248,255,97
26,262,231,231,149
173,11,77,231,20
173,262,77,231,178
262,19,231,20,246
262,11,231,67,429
173,19,231,77,267
90,19,70,173,101
16,262,248,243,375
90,19,231,152,265
16,19,77,231,456
168,138,231,67,455
217,113,231,20,578
90,19,231,121,239
173,19,231,231,234
173,231,77,173,576
16,19,77,173,102
16,65,231,231,1
115,10,77,231,413
267,133,248,115,445
217,168,248,196,603
262,231,248,11,616
195,231,77,144,388
173,19,231,231,250
262,19,77,231,206
26,11,231,144,83
67,70,231,231,448
26,113,248,173,224
173,11,77,77,163
173,19,77,231,50
173,19,77,231,597
173,19,231,231,40
262,62,231,121,106
267,10,248,144,624
90,196,248,144,58
26,24,77,231,62
16,19,231,16,376
90,19,231,144,639
115,19,231,231,118
90,262,231,121,165
16,24,231,70,614
16,19,77,70,176
262,231,77,231,192
115,11,231,231,135
173,19,231,231,9
173,24,231,20,211
262,24,168,67,48
173,70,77,231,374
115,11,77,53,131
115,24,231,231,379
67,231,77,10,439
16,19,231,70,92
16,65,77,70,377
67,11,77,70,38
262,19,231,231,164
16,19,77,231,143
26,231,77,231,380
26,19,77,231,153
173,24,231,231,251
195,62,248,144,216
144,195,248,168,584
195,196,248,173,151
16,19,231,144,441
16,19,231,16,201
262,19,231,144,150
16,65,77,231,645
195,196,248,231,161
173,19,231,231,169
217,10,248,255,411
115,19,231,231,47
26,19,77,231,443
11,19,70,231,221
16,19,231,16,415
90,231,231,217,16
262,11,231,231,55
16,19,231,24,435
195,262,77,70,636
26,10,77,231,570
90,11,231,144,457
195,19,77,144,42
262,262,231,121,171
262,262,231,53,427
16,19,231,16,231
90,168,248,262,202
20,20,248,173,442
67,19,231,16,426
195,262,77,231,626
16,65,77,70,117
173,19,77,231,618
16,19,77,231,395
26,19,77,231,36
173,11,231,70,158
16,19,231,16,228
195,250,248,249,417
16,65,231,16,389
262,196,248,144,80
173,231,231,77,227
67,195,248,231,598
16,24,77,231,421
173,19,77,70,72
90,262,231,231,21
254,19,70,231,81
26,262,231,231,124
217,138,248,195,170
195,231,248,173,423
262,248,248,255,567
16,19,231,16,172
16,11,231,231,4
26,19,70,231,642
16,11,77,231,449
115,19,231,231,186
173,19,77,231,252
173,152,77,144,155
262,231,231,144,84
262,262,231,231,100
115,152,231,144,60
217,24,248,267,70
26,19,77,231,431
