Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
54,258,59,96,572
1,258,44,96,608
178,110,263,198,382
76,258,44,235,393
208,171,263,0,425
1,258,44,239,381
57,211,253,13,85
4,218,44,244,609
174,102,44,186,200
57,258,44,239,126
54,258,44,96,414
22,258,59,96,184
54,258,44,228,612
36,244,253,164,568
226,143,263,30,214
54,258,59,204,0
76,256,244,151,18
220,258,44,244,218
216,171,263,228,95
60,171,263,235,412
27,155,244,218,125
102,155,263,30,114
153,59,244,66,138
129,171,263,229,583
1,258,59,239,53
57,224,244,151,87
79,258,44,239,79
89,102,44,239,64
155,261,263,227,233
54,258,44,235,575
59,142,244,218,579
98,258,44,191,599
208,143,244,201,615
1,258,44,96,428
216,102,44,239,115
23,258,59,239,190
57,102,263,96,573
143,258,59,235,27
136,125,263,191,17
1,258,59,239,424
89,163,44,228,66
190,102,263,264,98
89,102,44,96,418
188,171,263,264,15
220,258,44,239,45
54,258,59,96,69
75,197,44,186,248
161,258,44,239,144
229,220,263,92,410
263,258,44,235,104
155,125,244,219,571
36,258,44,235,68
23,258,59,96,159
216,171,263,96,220
160,84,263,228,205
210,258,44,191,225
1,258,59,204,237
216,150,151,176,223
1,258,59,96,433
57,102,263,228,383
97,54,244,109,408
1,258,59,204,177
50,171,263,18,607
208,171,263,12,71
79,197,44,239,147
79,258,44,239,406
160,64,263,32,577
220,258,44,204,129
