Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
358,343,163,194,181
444,407,163,194,178
358,374,163,194,174
333,72,163,194,219
435,407,270,297,369
435,407,270,228,432
358,330,270,39,346
423,374,163,160,275
180,381,270,358,414
417,139,163,160,227
423,265,270,310,342
358,97,163,194,221
72,381,270,194,127
368,226,163,160,239
333,407,163,89,222
423,363,270,89,341
368,73,163,160,220
348,434,380,96,447
291,73,180,160,53
444,190,163,160,257
291,270,416,91,449
417,300,163,160,388
419,202,352,368,251
348,270,270,89,354
368,199,126,368,175
358,420,270,368,205
358,309,292,254,311
382,386,270,310,438
211,381,270,329,210
417,379,163,160,193
348,32,270,89,242
358,226,163,194,248
237,434,163,194,247
358,358,270,358,424
358,442,270,253,43
291,408,270,128,362
368,171,180,160,259
348,358,325,368,334
211,356,163,194,14
163,419,292,353,365
211,381,352,89,289
348,270,163,358,129
423,119,163,160,117
419,207,352,368,130
358,140,270,358,179
375,364,325,128,319
411,206,270,169,410
368,72,180,160,143
358,146,406,48,324
417,39,270,125,335
368,379,270,89,349
368,427,140,353,204
211,190,163,160,83
423,387,163,160,256
387,434,126,48,446
353,290,163,194,196
358,70,163,89,191
235,381,163,160,236
348,356,352,89,145
291,434,163,160,144
291,358,270,358,282
423,160,270,279,52
348,407,270,368,401
303,434,270,358,301
348,417,270,310,448
419,73,352,194,23
423,182,270,190,203
333,190,163,194,266
