Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
637,44,132,430,45
120,566,178,163,408
585,44,132,430,159
22,44,132,430,184
645,211,178,186,15
192,117,132,430,607
637,44,132,430,218
155,86,178,445,579
171,44,132,430,406
637,44,132,430,414
192,251,132,430,412
46,251,132,430,220
452,7,132,430,115
601,212,178,430,87
592,117,178,229,568
161,7,132,430,79
637,44,132,430,428
566,264,132,430,433
585,173,588,430,17
565,593,132,430,64
192,117,221,430,71
263,251,178,430,577
46,109,231,430,573
647,44,132,430,599
22,7,221,430,608
606,117,132,430,104
403,173,178,229,410
432,209,178,229,571
46,168,221,430,382
22,41,178,430,248
586,7,132,430,147
622,444,178,229,200
438,44,132,430,177
122,601,132,430,609
58,7,221,430,612
419,173,178,430,425
44,44,178,216,66
132,44,221,430,129
132,44,132,430,0
622,446,178,430,18
637,44,132,430,69
67,24,178,1,214
257,24,178,229,114
637,44,132,430,572
46,251,132,430,95
636,173,178,229,98
132,44,132,430,53
258,402,178,430,418
46,7,132,430,126
35,44,132,430,190
637,44,221,430,144
637,7,132,430,68
637,7,132,430,27
35,44,132,430,381
391,44,132,430,393
637,44,132,430,424
637,618,132,430,225
204,421,178,229,615
25,173,178,229,583
30,173,178,229,223
59,211,178,49,125
76,195,178,430,205
258,416,178,229,233
637,7,132,430,575
76,562,178,229,85
22,567,178,430,138
192,251,178,430,383
132,44,132,430,237
