Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
192,173,370,229,615
417,121,370,229,66
427,173,370,430,425
151,402,370,430,64
637,7,560,430,27
258,402,370,430,418
566,264,231,430,433
22,444,370,430,248
647,44,231,430,599
647,7,560,430,147
171,44,231,430,184
67,24,370,1,214
403,173,370,229,410
25,173,370,229,583
622,444,370,229,200
601,212,370,430,87
637,7,231,430,575
391,44,231,430,393
592,117,370,430,568
637,44,560,430,144
120,566,370,163,408
636,173,370,143,98
161,7,231,430,79
637,44,231,430,414
46,251,231,430,220
637,44,231,430,572
641,24,370,229,114
135,117,560,430,104
35,44,231,430,177
122,117,231,430,607
645,211,370,33,15
264,421,370,430,138
122,168,231,430,609
637,44,560,430,428
132,44,231,430,129
46,168,231,430,382
81,416,151,229,233
637,618,231,430,225
35,44,231,430,0
171,44,231,430,406
35,44,560,430,237
637,44,231,430,218
263,251,370,430,577
637,7,231,430,69
432,209,370,229,571
637,44,231,430,159
46,593,560,430,573
48,195,370,430,205
44,44,231,430,190
132,44,560,430,45
647,7,231,430,68
35,44,231,430,381
452,7,231,430,115
585,173,392,430,17
122,117,231,430,71
192,633,231,430,412
46,251,231,430,95
46,7,560,430,126
155,86,370,445,579
141,562,370,229,85
59,211,370,229,125
622,446,370,430,18
132,44,231,430,424
601,173,370,229,223
132,44,231,430,53
192,168,370,430,383
565,7,231,430,608
58,7,231,430,612
