Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
79,258,143,97,79
263,258,143,235,104
50,171,234,18,607
1,258,143,97,147
220,258,143,97,45
54,258,257,204,0
57,102,234,96,573
1,258,257,204,177
1,258,257,97,424
97,54,211,109,408
57,224,211,151,87
1,258,143,96,428
160,171,234,96,577
57,102,234,228,383
210,258,143,119,225
102,155,234,30,114
79,258,143,97,406
54,258,257,96,69
143,258,257,235,27
216,150,151,176,223
153,59,211,66,138
89,163,143,228,66
22,258,257,96,184
4,218,143,244,609
98,258,143,119,599
36,244,253,164,568
155,261,234,227,233
155,125,211,160,571
208,171,234,12,71
23,258,257,97,190
208,171,234,0,425
160,84,234,228,205
136,125,234,119,17
216,171,234,96,220
76,258,143,235,393
60,171,234,235,412
229,220,234,92,410
161,258,143,97,144
1,258,143,97,381
174,102,143,186,200
190,102,234,264,98
23,258,257,96,159
54,258,143,96,414
178,110,234,198,382
54,258,143,235,575
57,44,253,13,85
129,171,234,229,583
75,197,143,186,248
1,258,257,97,53
54,258,143,228,612
89,102,143,97,64
220,258,143,204,129
216,171,234,228,95
1,258,257,96,433
208,143,211,201,615
177,155,211,218,125
188,171,234,264,15
36,258,143,235,68
54,258,257,96,572
226,143,234,30,214
1,258,143,96,608
220,258,143,244,218
57,258,143,97,126
76,256,211,151,18
89,102,234,66,418
1,258,257,204,237
242,102,143,97,115
232,142,211,218,579
