ltable_authors,ltable_booktitle,ltable_date,ltable_editor,ltable_address,ltable_institution,ltable_journal,ltable_month,ltable_note,ltable_pages,ltable_publisher,ltable_tech,ltable_title,ltable_category,ltable_volume,ltable_year,rtable_authors,rtable_booktitle,rtable_date,rtable_editor,rtable_address,rtable_institution,rtable_journal,rtable_month,rtable_note,rtable_pages,rtable_publisher,rtable_tech,rtable_title,rtable_category,rtable_volume,rtable_year,alteredAttributes,originalRightId
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",1@833
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Pazzani, M. and Kibler, D.",,,,,,"Machine Learning,",,,"57-94,",,,Instance-based learning algorithms.,,9(1):,1992.,"('title',)",1@1106
Paul E. Utgoff.,,,,"University of Massachusetts,",,,March,,,,,Decision tree induction based on efficient tree restructuring.,"Technical Report 95-18,",,1995.,"Utgoff, P. E.","Machine Learning: An Artificial Intelligence Approach,",,"In Michalski, R.S.; Carbonell, J.G.; and T.M., Mitchell,",,,,,,107-148.,Morgan Kaufmann Publishers.,,"Decision Tree Induction Based on Efficient Tree Restructuring,",,Vol II.,"1986,","('title',)",0@1565
S.E. Fahlman and C. Lebiere.,"Advances in Neural Information Processing Systems,",1990.,"In D.S. Touretzky, editor,","San Mateo,",,,,,"pages 524-532,",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,"volume 2,",,"Fahle, M., Edelman, S., & Poggio, T.",,,,,,"Vision Research,",,,3003-3013.,,,The cascade-correlation learning architecture.,,"35,",,"('title',)",1@46
"Aha, D.W., Kibler E., Albert M.K.:",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"6,",(1991),"Nilsson, N. J.",,,,,,"Journal of Artificial Intelligence Research 1,",,,139 - 158.,,,"Instance-Based Learning Algorithms,",,,"(1994),","('title',)",0@788
"Utgoff, P.E.",Machine Learning,,,,,,,,pp. 161-186.,,,(1989) Incremental induction of decision trees.,,"4(2),",,Paul E. Utgoff.,"In Sixth International Workshop on Machine Learning,",,,,,,,,"pages 362-365,",,,Incremental induction of decision trees.,,,1989.,"('title',)",1@1698
"Aha, D. W.; Kibler, D.; and Albert, M. K.",,,,,,Machine Learning,,,37-66.,,,Instance-based learning algorithms.,,6,1991.,"Kelly, J. D. & Davis, L.","In Proceedings of The Twelfth International Joint Conference on Artificial Intelligence,",,,Sydney:,,,,,645-650.,Morgan Kaufmann.,,Instance-Based Learning Algorithms.,,,(1991).,"('title',)",1@731
"Aha, D.W., Kibler, D., and Albert, M.K.,",,,,,,"Machine Learning,",,,"pp. 37-66,",,,"Instance-based learning algorithms,",,"6,",1991.,"Brodley, C. E., Utgoff, P. E.",,,,,,"In Machine Learning,",,,45-77.,,,Instance-based learning algorithms.,,"19,",(1995).,"('title',)",0@1187
"Aha, David W., Dennis Kibler, Marc K. Albert,",,,,,,"Machine Learning,",,,pp. 37-66.,,,"Instance-Based Learning Algorithms,",,"vol. 6,",(1991).,"Brodley, C. E., Utgoff, P. E.",,,,,,"In Machine Learning,",,,45-77.,,,Instance-based learning algorithms.,,"19,",(1995).,"('title',)",0@1187
"Aha, D. W., Kibler, D. & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-Based Learning Algorithms.,,6,(1991).,"Brodley, C. E., Utgoff, P. E.",,,,,,"In Machine Learning,",,,45-77.,,,Instance-based learning algorithms.,,"19,",(1995).,"('title',)",0@1187
