ltable_authors,ltable_booktitle,ltable_date,ltable_editor,ltable_address,ltable_institution,ltable_journal,ltable_month,ltable_note,ltable_pages,ltable_publisher,ltable_tech,ltable_title,ltable_category,ltable_volume,ltable_year,rtable_authors,rtable_booktitle,rtable_date,rtable_editor,rtable_address,rtable_institution,rtable_journal,rtable_month,rtable_note,rtable_pages,rtable_publisher,rtable_tech,rtable_title,rtable_category,rtable_volume,rtable_year,alteredAttributes,originalRightId
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"Fahlman, S. E., and Lebiere, C.",,,,,,"Connection Science,",,,377-391.,,,Perceptron trees: A case study in hybrid concept representations.,,"1 (4),",(1989).,"('authors',)",0@1702
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"Utgoff, P. E.",,,,,,"Connection Science,",,,377-391.,,,The cascade-correlation learning architecture.,,"1 (4),",(1989).,"('title',)",0@1702
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"Fahlman, S. E., and Lebiere, C.",,,,,,"Connection Science,",,,377-391.,,,Perceptron trees: A case study in hybrid concept representations.,,"1 (4),",(1989).,"('authors',)",0@1702
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"Utgoff, P. E.",,,,,,"Connection Science,",,,377-391.,,,The cascade-correlation learning architecture.,,"1 (4),",(1989).,"('title',)",0@1702
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"Jordan, M. I. & Jacobs, R. A.",,,,,,"Connection Science,",,,377-391.,,,Perceptron trees: A case study in hybrid concept representations.,,"1 (4),",(1989).,"('authors',)",0@1706
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"Utgoff, P. E.",,,,,,"Connection Science,",,,377-391.,,,"Supervised learning and divide-and-conquer: A statistical approach,",,"1 (4),",(1989).,"('title',)",0@1706
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"S.B. Thrun, J. Bala, E. Bloedorn, I. Bratko, B. Cestnik, J. Cheng, K. De Jong, S Dzroski, S.E. Fahlman, D. Fisher, R. Hamann, K. Kaufman, S. Keller, I. Kononenko, J. Kreuziger, R.S. Michalski, T. Mitchell, P. Pachowicz, Y. Re-ich H. Vafaie, W. Van de Welde, W. Wenzel, J. Wnek, and J. Zhang.",,,,,,"Connection Science,",,,377-391.,,,Perceptron trees: A case study in hybrid concept representations.,,"1 (4),",(1989).,"('authors',)",0@1706
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"Utgoff, P. E.",,,,,,"Connection Science,",,,377-391.,,,The monk's problems a performance comparison of different learning algorihms.,,"1 (4),",(1989).,"('title',)",0@1706
"Fahlman, S., and Lebiere, C.",In Advances in Neural Information Processing Systems,(1989).,,"Denver,",,,,,524-532.,CO.,,The cascade-correlation learning architecture.,,"2,",,"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"Teleo-reactive programs for agent control,",,"Vol.2,",,"('title',)",1@383
"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,"Kibler, D. and Aha, D.",In Advances in Neural Information Processing Systems,(1989).,,"Denver,",,,,,524-532.,CO.,,The cascade-correlation learning architecture.,,"2,",,"('authors',)",0@307
"S.E. Fahlman and C. Lebiere,",Advances in Neural Information Processing Systems,1990.,,"San Mateo, CA,",,,,,"2, pp. 524-532,","Morgan Kaufmann,",,"The cascade-correlation learning architecture,",,"Vol.2,",,"Fahlman, S., and Lebiere, C.",In Advances in Neural Information Processing Systems,(1989).,,"Denver,",,,,,524-532.,CO.,,Learning representative exemplars of concepts: An initial case study.,,"2,",,"('title',)",0@307
"D. Aha, D. Kibler, and M. Albert.",,,,,,"Machine Learning,",,,,,,Instance-based learning algorithms.,,"6(1),",1991.,"D. Aha, D. Kibler, and M. Albert,",,,,,,"Machine Learning,",,,"pp. 37-66,",,,A Teaching Method for Reinforcement Learning.,,"vol. 6,",1991.,"('title',)",0@671
"Aha, D. W., Kibler, D., & Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"6 (1),",(1991).,"Aha, D. W., Kibler, D., & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Lookahead feature construction for learning hard concepts.,,"6,",(1991).,"('title',)",1@604
