Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
288,298,164,284,222,288,153,291
525,298,164,182,311,288,225,403
288,298,164,182,311,227,225,472
288,298,164,284,222,214,153,291
244,298,347,227,285,214,242,485
525,298,164,284,311,288,225,485
288,298,164,83,311,227,225,403
34,298,206,284,222,288,285,291
247,298,73,527,173,214,64,371
34,298,437,83,311,227,225,291
90,306,119,284,452,376,209,295
49,298,64,284,222,214,321,291
34,298,164,400,311,227,225,472
49,298,209,284,222,214,264,291
343,298,206,284,311,288,225,485
323,298,301,284,437,227,341,291
188,298,209,284,222,214,119,485
34,298,206,182,222,288,285,291
34,298,437,83,311,227,285,371
449,298,282,284,452,290,475,371
525,288,105,291,452,431,242,233
525,298,164,398,311,288,225,485
34,298,164,284,311,288,285,291
438,111,184,258,242,519,472,480
210,298,437,182,311,288,153,371
288,298,206,400,311,227,225,371
210,298,164,422,311,227,285,403
383,298,64,284,437,214,509,371
49,298,209,284,222,214,157,485
288,298,164,182,311,227,225,371
188,298,164,182,311,288,225,485
