Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
277,440,26,118,131,204,9,150,516
180,440,149,118,318,204,95,150,474
180,440,149,118,131,204,9,150,87
90,440,665,118,131,204,9,431,673
723,440,76,118,318,204,9,431,288
180,440,149,118,318,204,665,431,299
90,440,209,118,318,431,659,150,475
90,440,209,118,131,431,152,431,434
90,300,28,118,131,204,9,150,190
213,440,76,118,318,204,9,431,178
204,729,98,306,164,722,638,290,433
90,440,209,118,131,204,9,431,631
308,696,235,76,73,118,521,428,271
524,637,46,118,131,204,9,431,287
90,440,209,118,131,204,137,431,63
476,300,28,118,131,204,659,431,203
90,440,16,118,131,204,102,150,110
90,440,209,290,131,204,101,150,276
76,440,209,118,131,431,9,150,32
180,440,665,118,318,431,137,150,108
638,440,209,118,131,204,131,431,127
180,300,28,118,318,204,9,150,285
684,440,665,118,318,204,9,150,260
1,440,149,118,131,204,684,150,682
638,440,209,118,131,431,9,431,728
524,440,152,118,131,431,493,431,167
180,440,149,118,318,204,137,431,51
180,440,149,118,318,204,659,150,219
150,637,149,118,131,431,102,431,450
90,440,209,118,318,431,9,150,107
90,440,209,118,131,431,102,150,698
90,440,149,118,318,204,9,431,429
231,440,149,118,318,431,258,431,60
197,440,149,118,131,431,101,431,207
180,300,28,118,131,204,9,431,447
90,440,209,118,131,431,9,431,155
733,696,180,680,73,120,665,499,82
137,440,665,118,318,431,102,150,639
46,76,153,120,73,152,659,25,230
90,440,209,118,318,204,9,150,268
90,696,476,318,73,186,521,277,448
213,440,209,118,318,204,688,150,174
90,440,149,118,131,431,460,150,177
90,440,209,118,318,431,9,431,255
524,440,76,719,131,431,9,150,184
277,440,76,118,318,204,665,150,672
524,440,209,118,131,204,9,431,241
180,440,149,118,318,204,101,150,309
314,440,149,118,131,204,684,431,504
733,440,76,719,131,431,101,150,171
318,440,149,118,131,204,102,431,635
634,440,149,118,318,204,95,431,232
1,440,209,118,318,204,290,150,498
180,440,209,118,318,204,676,431,317
723,440,209,118,131,102,460,150,712
180,440,149,118,131,204,101,150,189
524,440,76,719,131,431,9,150,148
90,440,209,118,318,431,137,150,246
1,440,665,118,131,431,137,150,86
723,213,209,118,131,204,659,431,484
733,440,152,118,318,102,102,431,216
101,440,152,118,131,431,9,150,662
90,440,149,118,318,204,9,150,281
180,440,149,118,131,204,493,431,489
90,440,149,118,318,431,9,431,423
90,440,149,118,318,204,9,150,520
213,440,149,118,131,204,9,431,319
318,440,76,118,131,204,9,150,38
180,440,149,118,131,204,49,150,154
684,440,149,118,318,204,9,150,307
180,440,149,118,131,204,101,431,645
710,90,209,118,131,204,9,150,205
306,696,300,316,316,431,187,290,506
318,440,237,118,131,204,9,431,195
308,440,209,118,131,102,95,150,161
90,440,665,118,131,204,9,150,707
180,440,149,118,131,204,665,150,466
638,440,91,118,318,204,102,150,699
277,440,76,118,318,431,9,150,252
723,440,149,118,131,431,102,431,71
638,440,209,118,131,431,684,150,236
634,90,209,118,318,204,528,150,668
723,440,209,118,131,204,460,150,738
306,696,300,316,316,431,187,290,487
180,440,209,118,318,204,9,150,437
213,440,149,118,318,204,102,431,19
90,440,209,290,131,204,659,150,196
424,440,91,118,131,204,684,150,54
314,637,493,258,73,26,258,661,677
90,300,28,118,131,204,9,150,27
180,440,149,118,131,204,101,150,282
180,440,665,118,131,431,102,150,43
180,440,209,118,131,204,9,150,122
684,440,209,118,318,204,9,150,250
684,440,209,118,131,204,9,150,99
638,440,152,118,131,204,659,150,20
180,440,149,118,131,204,137,431,269
638,637,209,118,131,204,684,431,81
90,440,149,118,131,204,152,431,641
90,440,209,118,318,431,9,150,77
180,440,149,118,318,204,101,150,257
684,440,209,118,131,204,9,150,486
1,440,209,118,318,204,9,150,58
684,440,665,118,131,204,49,431,674
180,440,149,118,318,204,665,431,113
524,440,665,118,318,431,95,150,165
180,300,28,118,131,204,9,431,660
90,440,209,118,318,431,9,150,297
314,440,209,118,73,204,493,431,208
723,440,209,118,131,204,9,150,703
180,440,149,118,318,204,9,150,513
90,440,209,118,131,431,684,431,263
90,440,149,118,318,431,9,431,261
231,440,149,118,131,204,9,150,218
277,213,76,118,131,204,9,150,711
1,440,209,118,318,204,9,150,56
64,440,422,118,318,204,9,150,697
90,440,209,118,318,431,95,150,731
64,440,149,118,318,204,9,150,70
180,440,209,118,131,204,9,150,67
90,440,209,118,318,431,49,431,124
1,440,149,118,318,431,499,431,718
64,231,209,118,318,204,659,150,30
180,440,149,118,318,204,9,431,502
180,440,149,118,131,204,9,431,217
488,440,149,118,131,204,131,431,157
180,440,149,118,318,204,137,431,14
90,440,209,118,318,204,9,150,483
723,440,209,118,131,204,101,150,713
180,440,149,118,131,204,9,150,185
90,440,209,118,318,431,137,150,130
180,440,149,118,318,204,9,150,4
