Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
208,219,711,127,178,650,54,30,131
252,114,673,712,178,245,511,127,646
173,260,136,243,178,178,163,127,659
177,114,36,712,178,738,735,127,73
107,114,36,712,178,738,735,127,440
124,114,673,712,178,738,692,517,313
284,303,108,173,178,518,208,457,274
241,260,55,712,178,245,232,127,152
236,114,673,712,178,245,69,127,439
177,114,36,712,178,738,93,127,726
639,114,36,712,178,245,69,517,314
252,114,673,712,178,245,700,127,496
241,260,55,712,178,245,232,127,292
107,114,36,712,178,245,511,517,1
116,515,448,161,178,715,480,182,164
107,114,108,712,178,245,93,517,316
639,114,36,712,178,245,511,517,91
37,114,36,712,178,245,69,127,296
107,114,36,712,178,245,93,127,729
639,114,108,712,178,738,735,127,634
107,114,108,712,178,245,735,127,453
107,114,36,712,178,245,69,517,16
236,114,36,712,178,245,644,517,308
236,114,36,712,178,245,69,127,719
107,114,673,712,178,245,735,127,696
30,515,96,433,178,518,515,122,273
107,114,673,712,178,245,735,127,649
241,114,673,712,178,245,511,127,180
220,260,157,243,178,738,219,127,237
433,114,673,712,178,245,163,697,684
295,114,673,712,178,245,506,127,186
15,114,70,243,178,178,198,127,46
121,260,55,712,178,245,721,127,90
730,114,36,712,178,245,69,127,209
108,114,673,712,178,444,735,127,438
107,114,108,712,178,245,735,127,231
107,114,673,712,178,738,93,127,421
295,260,468,712,178,738,735,517,57
730,114,673,712,178,245,735,517,476
30,114,698,243,178,178,515,697,710
252,114,36,712,178,738,69,127,680
107,114,108,712,178,245,93,517,7
295,114,673,712,178,245,93,127,35
107,114,36,712,178,245,69,517,153
236,114,673,712,178,245,511,127,213
295,114,36,712,178,444,69,127,76
639,114,36,712,178,245,735,517,669
693,303,518,161,178,715,184,182,9
241,114,108,712,178,245,69,127,524
107,114,673,712,178,738,735,517,300
651,260,298,243,178,190,636,127,101
184,114,136,712,178,738,211,127,665
479,114,673,712,178,245,69,127,293
241,114,673,712,178,738,114,517,137
233,260,55,712,178,178,263,127,528
241,114,36,712,178,245,700,127,26
220,114,136,712,178,245,289,127,521
107,114,673,712,178,245,735,127,485
481,114,55,243,178,178,517,697,6
107,114,36,712,178,245,69,127,187
107,114,673,712,178,738,69,127,79
633,114,673,712,178,245,511,517,204
233,260,55,243,178,178,60,127,258
107,114,673,712,178,738,93,517,637
677,37,718,104,178,433,70,182,688
107,114,36,712,178,245,644,127,47
639,114,36,712,178,245,69,517,239
295,114,673,712,178,245,506,127,510
107,114,36,712,178,245,644,127,478
220,114,36,712,178,738,69,127,169
40,121,448,173,178,705,286,429,676
107,114,36,712,178,245,644,517,280
241,114,36,712,178,245,511,127,473
107,114,36,712,178,738,69,127,118
433,15,159,320,178,215,227,287,95
220,114,67,712,178,245,42,127,102
639,114,36,712,178,245,69,127,272
639,114,36,712,178,245,69,127,150
107,114,108,712,178,444,93,127,490
236,114,673,712,178,245,69,517,422
639,114,36,712,178,245,700,127,120
433,260,289,243,178,245,108,517,722
107,114,36,712,178,444,93,127,5
639,114,36,712,178,245,69,127,64
639,114,36,712,178,245,69,127,175
433,260,36,243,178,738,260,127,235
295,114,673,712,178,245,93,127,507
177,114,36,712,178,738,735,127,24
241,114,36,712,178,738,69,517,443
252,114,108,712,178,245,735,127,200
252,114,673,712,178,245,69,127,462
639,114,36,712,178,245,700,517,733
107,114,673,712,178,444,735,127,477
295,114,36,712,178,444,506,127,675
107,114,673,712,178,245,93,127,31
37,114,36,712,178,245,69,127,643
107,114,36,712,178,245,69,127,279
241,114,108,712,178,245,511,517,197
12,60,259,227,178,215,730,75,98
107,260,36,712,178,738,699,127,49
233,260,55,243,178,178,60,127,642
108,114,673,712,178,444,93,127,306
12,178,126,639,178,505,738,67,460
107,114,108,712,178,245,69,127,134
639,114,673,712,178,245,69,517,277
107,114,108,712,178,245,735,127,202
107,114,36,712,178,738,735,127,53
107,114,298,712,178,738,69,517,149
639,114,36,712,178,245,69,127,28
107,114,67,712,178,738,506,127,424
161,42,30,639,178,448,425,527,499
433,136,36,712,178,738,317,697,158
241,114,673,712,178,245,511,127,716
241,114,36,712,178,738,511,517,25
107,260,36,712,178,245,69,127,129
639,114,673,712,178,245,69,517,656
107,114,36,712,178,738,735,127,41
30,114,698,243,178,178,515,697,691
107,114,70,712,178,738,692,127,723
295,114,673,712,178,738,69,127,74
220,260,55,712,178,738,630,517,493
30,114,698,243,178,178,515,697,103
78,303,693,119,178,518,240,287,638
633,114,673,712,178,245,511,517,3
639,114,36,712,178,245,735,517,283
107,114,55,712,178,245,69,517,488
233,194,55,243,178,738,463,517,290
107,114,673,712,178,245,506,517,242
107,114,36,712,178,245,69,517,318
295,114,673,712,178,245,69,517,431
107,114,673,712,178,738,69,127,661
705,114,673,712,178,245,93,517,428
