Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
241,114,673,712,119,245,511,725,204
77,114,673,712,48,245,735,725,485
433,426,55,429,48,650,695,725,101
30,260,161,429,48,315,17,725,521
241,114,36,712,119,245,69,725,719
639,114,36,712,119,245,735,725,283
241,114,36,712,119,245,511,725,213
295,114,673,712,48,245,506,725,510
295,114,673,712,119,245,93,725,428
736,260,136,243,48,245,687,127,152
479,114,36,712,48,245,735,127,478
77,260,36,712,48,245,735,725,280
241,114,673,712,48,245,69,725,496
295,114,55,712,92,245,69,725,488
639,114,36,712,48,245,69,725,150
295,114,36,712,119,245,93,725,35
241,114,36,712,119,245,511,725,25
77,114,36,712,119,245,93,725,153
77,114,36,712,48,444,93,725,5
639,114,673,712,48,245,69,725,656
77,114,67,712,48,245,506,725,424
77,260,36,712,119,245,735,725,129
77,114,673,712,48,245,93,725,31
236,114,36,712,119,245,69,725,64
220,114,673,712,48,245,692,725,137
295,114,673,712,119,245,93,725,431
236,114,36,712,48,245,735,725,308
208,260,136,712,119,245,211,127,665
639,114,36,712,119,245,69,725,239
78,701,693,119,48,518,240,287,638
77,114,36,712,48,245,735,725,318
108,114,673,712,48,444,93,725,306
241,114,36,712,48,245,511,725,473
295,260,468,712,48,245,93,725,57
295,114,36,712,48,245,93,127,507
77,114,36,712,119,245,93,725,53
119,260,702,243,48,245,630,725,493
636,114,55,712,48,245,692,725,723
177,114,36,712,119,245,117,725,73
252,114,673,712,48,245,69,725,462
108,114,36,712,119,444,93,725,438
12,241,126,639,48,505,738,67,460
639,114,36,712,119,245,69,725,209
188,114,673,712,119,245,735,127,453
252,114,673,712,92,245,69,725,439
678,461,677,116,48,687,513,50,659
77,114,36,712,119,245,506,725,187
736,114,36,712,119,245,735,725,296
12,286,735,68,48,215,730,75,98
639,114,673,712,119,245,69,127,277
730,114,673,712,119,245,735,725,476
715,72,256,173,48,244,114,206,46
252,114,36,712,48,245,69,725,680
236,114,36,712,119,245,69,725,733
77,114,36,712,48,178,506,725,675
479,114,36,712,48,245,735,127,47
177,114,36,712,119,245,735,127,24
77,114,36,712,119,245,93,127,729
677,37,718,651,48,433,70,182,688
433,260,36,243,48,245,289,725,235
633,114,673,712,119,245,69,725,422
37,114,36,712,48,245,735,725,643
481,114,222,243,48,178,517,697,6
639,114,36,712,119,245,69,127,175
77,114,673,712,48,245,93,725,300
435,426,161,429,119,178,39,700,237
241,114,36,712,119,245,69,725,26
693,701,518,161,48,715,220,182,9
77,114,67,712,48,245,69,725,149
189,114,673,712,48,245,735,725,661
433,260,289,243,48,245,108,725,722
77,260,108,712,48,245,735,725,202
77,114,673,712,119,245,93,725,637
241,114,36,712,48,245,69,725,443
220,114,55,712,48,245,664,725,102
736,114,36,712,92,245,69,127,169
730,114,36,712,48,245,735,725,293
27,72,713,639,48,232,515,218,691
77,114,36,712,119,245,93,127,118
161,170,30,639,48,448,425,527,499
233,84,730,0,48,315,463,700,290
736,114,108,712,48,245,735,725,200
236,114,36,712,119,245,69,725,272
40,121,448,173,48,108,286,225,676
639,114,108,712,48,245,93,725,134
77,114,36,712,48,245,93,725,440
633,114,108,712,119,245,735,725,634
241,114,673,712,119,245,69,725,180
27,72,713,639,48,232,515,218,710
77,114,36,712,119,245,93,725,16
639,114,36,712,48,245,69,725,314
77,114,36,712,119,245,506,725,279
433,260,461,454,119,178,60,725,642
177,114,36,712,119,245,93,725,726
639,114,36,712,119,245,511,725,91
77,114,108,712,48,245,93,725,7
121,260,702,712,119,245,463,725,90
241,114,36,712,48,245,511,725,646
639,114,36,712,48,245,735,127,669
252,114,36,712,119,245,69,127,120
77,114,36,712,48,245,93,725,41
30,515,96,433,48,518,515,122,273
77,114,673,712,48,444,93,725,477
736,260,136,243,48,245,687,725,292
233,136,55,712,119,178,39,725,528
37,114,673,712,48,245,735,725,696
241,114,673,712,119,245,69,725,716
295,114,36,712,48,444,506,725,76
189,114,673,712,119,245,735,725,79
241,114,673,712,48,245,69,725,197
433,426,36,712,92,245,317,697,158
77,260,55,712,119,245,699,127,49
77,114,673,712,119,245,93,725,490
77,114,673,712,48,245,735,725,649
433,15,159,681,48,215,227,287,95
479,114,673,712,48,245,506,725,242
77,114,108,712,119,245,93,725,316
241,114,108,712,119,245,69,725,524
433,114,673,712,119,245,163,697,684
27,72,713,639,48,232,515,218,103
236,114,36,712,48,245,69,127,28
208,225,711,725,48,650,54,30,131
241,114,673,712,48,245,511,725,3
433,260,461,110,48,178,60,725,258
284,701,108,173,48,518,208,457,274
116,515,448,161,48,715,480,182,164
15,114,36,712,119,245,71,725,313
77,114,673,712,119,245,93,127,421
77,114,36,712,119,245,511,725,1
295,114,673,712,48,245,506,725,186
295,114,673,712,48,245,93,725,74
77,260,108,712,48,245,735,725,231
