Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
487,424,206,284,265,227,456,446
256,424,175,227,265,214,394,137
288,59,77,398,265,288,3,446
344,424,206,284,265,288,3,446
525,424,77,284,265,96,3,446
227,242,278,341,265,321,20,527
34,424,77,422,265,227,3,446
462,424,77,284,265,214,456,446
525,424,206,284,265,214,82,446
227,521,318,404,159,477,83,532
34,424,77,284,265,227,456,446
188,424,77,284,265,214,137,446
34,424,77,83,265,227,3,446
206,424,77,83,265,214,3,446
188,424,206,284,265,227,21,446
34,355,77,284,265,227,456,446
206,424,77,284,265,214,3,446
206,424,77,83,265,214,3,446
188,424,77,83,265,214,3,446
341,424,77,284,265,227,3,446
188,424,77,284,265,96,21,446
214,424,77,182,265,227,3,446
214,424,77,422,265,227,3,446
188,424,206,284,265,227,21,446
214,424,206,284,265,214,421,446
49,424,77,284,265,214,37,418
188,424,77,284,265,214,508,418
288,424,206,400,265,96,3,446
214,424,77,182,265,227,3,446
231,355,206,284,265,214,37,307
487,355,206,284,265,214,456,446
214,424,77,83,265,227,3,446
34,424,77,398,265,227,3,446
525,424,73,284,265,214,37,446
188,424,77,284,265,227,185,446
487,424,77,182,265,227,3,446
49,59,73,284,265,214,508,446
214,424,77,398,265,227,3,446
477,424,64,284,35,214,188,35
49,59,206,284,265,214,492,418
214,424,171,83,265,214,3,446
34,424,77,182,265,227,3,446
477,424,64,284,35,214,188,35
525,424,77,284,265,227,21,446
525,424,77,83,265,227,3,446
188,59,206,284,265,214,37,418
34,424,77,284,265,227,456,446
34,424,77,400,265,227,3,446
244,141,521,65,159,477,20,371
256,424,175,284,265,214,161,418
256,537,258,284,35,214,268,418
525,424,77,83,265,227,3,446
188,424,77,83,265,214,3,446
214,59,77,182,265,227,3,446
188,227,77,284,265,214,3,446
335,299,359,284,265,206,203,137
214,424,77,83,265,227,21,446
344,424,77,284,265,214,456,446
34,227,77,398,265,227,3,446
525,424,77,83,265,96,3,446
34,424,437,398,265,227,3,446
525,424,77,422,265,227,3,446
525,424,77,398,265,227,3,446
34,424,77,83,265,227,3,446
34,59,492,398,265,227,3,446
23,424,77,398,265,227,3,446
49,59,206,284,265,214,270,418
34,424,77,83,265,227,456,446
233,427,322,284,243,214,24,446
23,424,77,284,265,227,456,446
288,424,77,83,265,227,21,446
525,424,77,83,265,96,185,446
256,59,178,284,265,214,19,418
188,424,77,284,265,214,508,446
525,424,77,422,265,214,3,446
214,424,77,398,265,227,3,446
525,424,77,284,265,227,21,446
34,424,77,182,265,227,3,446
344,355,31,284,265,214,3,35
439,59,178,284,265,214,237,446
525,424,77,83,265,214,3,446
341,424,77,400,265,227,3,446
34,424,77,83,265,227,3,446
188,424,175,284,265,214,508,418
206,424,206,284,265,214,3,446
211,141,185,60,159,178,306,144
188,424,206,284,265,214,165,418
214,424,77,284,265,227,60,446
525,424,77,284,265,227,21,446
214,424,77,83,265,227,3,446
525,424,206,182,265,214,3,446
525,59,206,400,265,227,3,446
214,61,531,284,243,206,453,307
46,61,306,381,243,214,88,446
525,424,77,182,265,96,3,446
462,424,77,284,265,214,456,446
34,424,77,83,265,227,3,446
188,424,77,284,265,96,21,446
214,424,206,422,265,227,21,446
437,227,77,398,265,288,3,446
525,424,206,284,265,214,21,446
341,424,77,398,265,227,3,446
341,227,77,398,265,227,3,446
525,424,77,83,265,214,3,446
462,424,206,284,265,288,3,446
214,424,77,83,265,227,21,446
341,424,77,182,265,227,3,446
23,424,77,284,265,227,456,446
525,424,77,83,265,214,3,446
344,355,64,284,265,214,421,35
34,424,206,398,265,227,3,446
525,424,206,284,265,214,82,446
188,424,77,284,265,214,184,418
49,59,209,284,265,214,491,35
206,197,182,264,159,402,431,118
119,226,328,519,159,484,537,285
525,424,77,83,265,227,3,446
477,424,64,284,35,214,188,35
34,424,77,182,265,227,3,446
487,424,77,182,265,227,3,446
188,424,77,284,265,96,21,446
34,424,77,83,265,227,3,446
525,59,77,398,265,288,3,446
525,424,206,284,265,214,21,446
214,424,77,398,265,227,3,446
341,424,491,83,265,227,3,446
487,424,77,182,265,227,3,446
34,424,492,83,265,227,3,446
256,355,77,284,265,214,201,137
34,424,492,398,265,227,3,446
23,424,77,460,265,227,3,446
214,424,77,422,265,227,3,446
