Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
649,528,424,90,202,716,722,684,190
488,428,424,28,316,258,665,150,310
488,428,158,28,316,258,98,158,512
283,490,716,688,202,152,638,726,271
131,490,424,476,149,152,6,722,640
280,428,443,90,202,710,273,129,236
306,490,424,476,149,152,665,722,297
638,528,235,118,202,272,665,684,427
273,490,424,476,149,46,90,293,731
9,528,274,28,149,521,722,129,518
202,675,158,28,316,258,98,158,319
306,102,716,118,149,258,638,129,270
153,428,158,28,202,258,691,158,104
279,528,424,90,202,716,290,684,482
131,726,443,476,149,646,665,3,298
153,428,158,28,316,152,691,158,631
296,490,634,476,149,5,131,129,474
638,428,158,28,637,152,98,676,468
9,528,424,476,149,164,158,129,99
169,528,308,197,202,25,665,642,730
488,428,158,28,202,490,691,676,244
152,528,7,118,149,25,90,9,182
283,213,443,5,202,209,460,129,263
187,209,424,118,202,476,46,428,34
134,313,300,237,202,710,46,129,717
431,313,235,118,202,272,101,684,467
280,726,424,688,202,290,46,318,484
209,209,443,28,202,152,665,158,234
46,428,443,28,202,152,6,158,61
202,428,158,28,202,258,102,158,517
5,313,443,688,202,716,164,237,67
280,149,101,688,202,131,676,637,121
9,313,424,476,149,164,691,129,657
649,313,308,169,202,131,131,318,37
659,313,424,476,149,478,665,258,162
153,102,424,28,202,258,722,478,228
202,428,158,28,316,258,722,158,2
118,313,200,118,202,476,158,642,432
279,313,424,476,149,120,684,722,506
273,313,634,237,202,521,684,642,106
57,313,424,476,202,661,691,9,177
209,209,41,28,202,152,235,158,18
5,675,424,642,202,680,290,510,456
638,313,443,237,202,521,258,642,206
296,209,443,28,316,258,152,150,425
649,710,722,118,149,710,46,318,136
306,428,158,28,316,258,6,158,471
306,726,424,688,202,290,46,318,437
296,313,696,688,202,710,528,57,662
41,73,696,476,202,296,676,684,109
283,313,424,476,149,646,722,290,65
460,209,158,28,316,57,202,676,513
488,209,158,28,316,258,202,158,30
46,428,424,28,202,646,6,158,497
638,313,424,476,149,164,6,129,262
283,313,424,476,202,272,46,237,113
73,313,235,237,202,1,90,477,500
649,313,424,521,202,716,722,684,714
649,313,424,521,202,716,722,684,27
638,209,443,28,202,258,101,676,678
306,428,158,28,316,258,202,158,687
202,428,158,28,316,258,131,158,183
283,313,153,118,202,91,158,9,698
9,313,424,476,149,120,659,722,193
488,209,158,28,316,258,202,158,110
152,726,424,118,202,421,722,49,12
