Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
121,298,18,449,503,282,117,123,716
82,264,448,42,705,215,227,502,95
15,298,715,449,503,113,735,60,47
281,260,682,144,144,641,109,60,316
481,298,18,449,503,113,319,458,26
211,298,650,449,503,115,725,294,675
500,711,226,173,144,319,20,123,103
119,298,715,449,503,641,109,60,476
119,298,18,449,503,113,109,60,91
481,298,715,144,503,444,20,123,642
481,298,18,449,503,113,110,123,90
15,298,715,144,503,113,644,60,485
208,298,18,449,503,113,93,123,272
15,298,715,144,503,444,109,60,723
15,298,70,449,503,113,109,60,313
208,298,18,449,503,113,735,458,209
449,468,706,319,705,650,93,60,57
15,298,173,144,503,113,644,60,453
472,298,70,449,503,113,206,60,477
15,298,715,144,503,113,109,60,1
70,264,713,119,705,194,633,527,638
449,298,715,144,503,444,93,147,49
284,264,518,173,705,111,12,34,274
670,298,70,641,503,178,93,60,186
715,298,18,449,503,282,511,60,680
270,260,461,266,503,641,482,123,290
481,298,18,449,503,113,735,458,473
230,298,18,449,503,113,735,60,439
230,725,173,144,503,113,109,60,137
670,298,70,641,503,178,93,60,510
211,298,715,449,503,641,93,123,507
670,298,173,641,503,641,644,60,73
678,174,30,201,705,215,60,527,98
119,298,301,144,215,30,724,123,102
15,298,715,449,503,444,93,123,5
449,298,173,144,503,641,93,60,7
121,298,18,449,503,113,679,60,646
433,711,256,113,503,444,655,123,6
208,260,224,449,503,30,93,123,169
211,260,715,449,503,641,735,60,280
449,298,145,144,503,30,93,60,729
135,298,136,449,503,444,214,60,488
119,298,173,144,503,641,735,60,656
211,260,70,449,215,444,93,123,637
243,430,456,451,705,672,113,502,460
480,298,173,641,503,641,735,60,202
715,298,715,449,503,282,117,60,422
449,298,650,144,503,444,735,123,428
682,725,222,449,503,641,644,60,726
208,298,173,449,503,641,735,60,200
715,298,18,449,503,282,511,123,150
480,298,173,641,503,641,735,60,231
670,298,70,144,503,641,644,60,24
509,260,12,641,503,30,240,123,152
208,37,211,465,705,513,640,689,131
18,711,174,518,144,641,630,60,46
15,298,715,449,503,113,735,60,478
500,711,226,173,144,319,20,123,710
472,298,70,449,503,641,93,60,300
121,298,18,449,503,282,679,60,496
119,298,173,144,503,113,735,123,634
715,298,18,449,503,454,511,458,120
248,260,161,518,144,641,20,123,237
121,298,481,712,503,454,727,123,528
121,298,18,449,503,113,735,458,28
670,298,715,449,503,219,93,60,76
433,30,289,116,144,461,655,123,722
170,298,136,144,503,30,155,123,521
15,298,715,449,503,113,93,60,118
208,298,715,449,503,454,93,123,283
260,298,715,449,503,113,457,123,440
715,298,18,449,503,113,735,60,277
481,298,136,144,503,30,225,123,665
715,298,18,449,503,113,511,60,239
449,298,18,144,503,641,506,60,424
15,298,715,144,503,178,506,60,187
121,298,18,449,503,113,109,458,308
15,298,715,144,503,178,506,60,279
715,298,18,449,503,113,511,60,314
119,725,18,449,503,113,511,60,16
260,298,173,449,503,641,93,60,134
500,711,226,173,144,319,20,123,691
208,298,715,449,503,454,93,123,669
509,260,12,641,503,30,240,123,292
670,298,650,144,503,444,735,123,306
724,141,82,270,705,126,307,248,676
260,298,715,449,503,113,457,123,41
121,298,715,449,215,113,511,458,197
260,298,715,449,503,113,457,123,53
472,298,18,449,503,444,735,60,149
27,12,43,173,705,706,442,123,688
121,298,18,449,503,282,117,123,180
481,298,18,449,503,113,735,458,213
260,260,70,144,503,641,725,123,696
121,298,715,449,503,282,319,458,3
15,298,165,144,503,461,109,123,649
230,298,715,449,503,113,735,60,462
677,711,222,518,144,444,289,123,499
481,298,173,449,503,30,12,123,684
481,298,18,449,503,113,319,458,25
481,298,715,449,503,113,109,60,524
243,30,677,116,705,701,494,18,659
449,298,715,449,503,282,735,60,318
211,298,173,449,503,444,644,458,490
230,725,18,449,503,282,679,458,733
119,298,136,144,503,219,0,458,493
121,298,173,449,503,113,298,127,235
670,298,70,144,503,641,93,123,438
260,298,18,144,503,113,457,60,153
211,298,715,449,503,641,93,123,35
445,194,82,161,705,695,682,662,164
715,298,715,449,503,641,109,60,443
448,260,650,449,503,113,63,433,158
15,725,70,641,503,641,93,60,242
480,264,518,161,705,307,249,494,9
481,298,18,449,503,113,511,123,719
715,298,18,712,503,113,511,123,175
670,298,173,144,503,30,457,703,431
435,194,243,298,705,111,663,673,273
311,67,174,270,705,60,664,123,101
119,298,18,449,503,113,457,60,293
208,298,715,449,503,641,457,123,296
211,260,70,449,503,444,93,123,31
119,298,715,144,503,282,735,60,64
121,298,715,449,503,282,319,458,204
15,298,70,144,503,641,735,60,421
670,298,173,144,503,30,457,703,74
208,298,715,449,503,641,457,123,643
481,298,715,144,503,444,20,458,258
472,298,650,449,503,641,139,60,79
472,298,650,449,503,641,139,60,661
449,298,165,449,503,641,735,60,129
