Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
15,230,457,116,99,253,2,487,634
230,66,698,116,260,55,10,426,691
15,230,157,116,99,253,2,487,661
171,66,157,116,260,55,136,426,684
230,66,698,116,260,55,10,426,710
515,66,702,116,260,55,673,426,722
651,230,706,116,99,253,208,495,733
515,66,702,116,44,55,464,426,676
253,701,706,116,123,82,218,426,729
289,66,457,116,99,82,208,426,637
448,66,706,116,260,55,471,426,665
207,230,457,116,99,253,127,495,723
456,721,706,116,260,55,189,426,688
481,721,157,116,99,253,310,495,646
80,66,157,116,260,82,208,426,726
15,230,157,116,99,253,127,487,680
88,66,706,116,260,55,454,426,642
481,230,157,116,99,253,127,495,719
516,260,161,116,123,55,123,426,638
15,230,457,116,99,253,208,426,696
461,66,702,116,99,55,114,426,669
441,717,664,181,61,190,446,256,659
15,230,457,116,99,253,2,487,656
461,230,136,116,99,55,208,529,643
481,230,157,116,99,253,127,495,716
207,721,157,116,99,253,208,426,675
15,721,36,116,260,55,2,426,649
