Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
279,242,213,316,421,120,443,485,660
280,477,120,49,421,722,95,507,170
438,26,634,213,293,118,24,485,299
153,209,634,258,421,316,661,485,435
187,477,200,91,453,118,6,280,445
316,485,634,213,293,490,25,485,736
279,477,510,213,293,118,272,485,19
279,213,120,316,421,118,661,5,708
438,292,634,213,293,490,496,101,4
438,98,279,49,421,152,684,485,60
438,26,129,316,293,118,661,101,218
729,476,634,213,293,490,272,101,196
729,3,7,120,293,290,485,280,287
438,98,634,213,421,490,661,5,86
76,675,237,638,164,5,164,102,504
638,485,242,316,421,213,443,5,506
290,675,237,638,164,5,237,102,311
438,3,7,213,421,120,676,710,112
729,152,129,316,293,118,272,485,159
729,152,129,213,293,120,684,485,738
306,496,510,510,421,490,661,101,468
638,485,242,316,421,213,443,5,487
438,152,510,213,710,490,524,485,92
729,186,496,46,421,118,175,507,695
306,152,634,213,293,490,272,101,304
438,152,634,213,293,118,634,507,168
438,485,129,213,293,118,460,485,221
661,7,120,634,421,46,722,485,724
279,242,213,316,421,120,443,485,447
91,101,187,5,164,723,102,101,433
438,175,7,213,421,290,101,710,288
438,3,7,158,421,290,499,710,75
443,675,283,131,164,496,443,729,88
438,292,634,213,293,490,661,101,732
438,476,7,213,637,490,231,485,652
438,292,634,213,293,290,24,101,469
729,3,510,316,293,290,485,101,61
438,292,634,316,293,490,24,101,125
438,98,129,213,421,316,134,101,712
729,31,510,316,293,290,661,485,254
187,428,7,24,453,118,90,642,229
438,292,634,213,293,118,24,485,467
438,661,634,213,710,490,524,485,250
438,152,510,316,293,120,134,101,639
438,661,7,213,710,490,524,485,683
95,308,462,150,421,424,280,164,96
638,485,242,316,421,152,443,5,526
438,292,634,213,293,118,24,485,269
438,292,634,316,293,490,496,101,442
438,292,510,213,293,290,661,101,13
438,661,7,213,293,290,24,101,151
187,175,634,120,710,120,24,710,681
438,152,510,213,293,490,661,485,246
424,213,158,5,453,422,684,9,694
661,292,634,316,293,290,272,485,66
438,661,7,213,237,490,524,485,704
438,477,7,120,637,290,499,101,653
438,26,496,316,421,316,661,485,58
729,90,129,213,293,490,661,101,263
7,237,283,5,421,669,460,131,253
438,98,634,213,293,490,634,101,286
438,292,274,213,293,290,272,101,59
729,31,510,120,710,290,485,280,119
279,428,200,24,453,290,90,488,157
488,213,74,710,421,422,273,137,111
279,428,74,24,453,290,90,488,667
438,26,120,316,421,118,443,637,658
438,152,510,213,293,490,524,485,255
95,213,197,634,421,197,300,9,271
438,485,510,213,421,118,134,485,155
169,485,235,316,421,152,488,485,252
438,292,634,316,293,490,634,101,632
661,149,129,316,421,118,153,485,267
438,26,510,213,293,290,24,101,731
6,213,273,231,421,120,153,1,82
