Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
435,30,737,170,159,114,479,208,710
166,177,298,430,504,650,12,96,164
435,30,84,78,159,114,193,30,231
435,30,514,78,159,195,444,30,521
430,208,119,248,504,37,630,67,90
435,30,737,170,159,114,699,30,293
456,208,117,170,504,178,199,256,5
88,208,12,78,159,195,641,30,528
191,527,657,78,159,114,699,30,477
435,30,737,170,159,114,479,208,103
435,173,10,78,159,114,207,30,76
252,30,518,78,159,232,471,30,186
227,298,679,170,504,266,178,55,9
252,30,10,78,159,114,116,30,209
435,30,737,170,303,114,517,703,6
270,30,514,78,159,114,171,216,684
435,127,737,170,159,195,161,36,91
435,30,514,78,159,114,210,216,180
303,30,222,196,504,114,111,36,306
270,30,61,78,159,114,471,36,473
121,116,121,504,504,114,463,703,676
435,208,189,78,159,195,699,30,649
471,30,177,196,159,195,111,256,637
721,30,10,78,159,114,699,30,280
429,116,177,196,504,136,472,55,74
435,30,737,78,159,114,444,36,290
435,30,10,78,159,114,210,216,1
156,30,10,78,159,114,128,30,643
435,173,631,78,159,195,471,30,204
435,30,10,78,159,114,229,30,476
435,30,514,78,159,114,471,30,485
227,208,657,249,504,253,305,703,460
435,30,84,78,159,114,193,30,202
156,30,303,78,159,114,128,30,296
435,30,10,78,159,195,699,216,496
108,30,737,78,159,114,298,36,488
721,298,257,529,504,0,727,30,696
435,30,303,78,159,114,65,30,453
506,30,514,78,159,114,471,216,49
523,37,15,217,504,122,140,12,661
435,30,737,78,159,114,641,30,16
435,725,737,78,159,114,229,30,102
119,30,214,78,159,114,178,30,134
266,96,271,271,504,449,113,115,438
435,30,514,78,159,195,471,30,733
435,30,514,78,159,114,517,216,680
456,208,10,78,159,114,699,30,272
435,30,737,78,159,114,178,36,314
270,30,61,170,159,195,32,55,101
448,465,289,673,504,52,94,198,499
456,30,10,78,159,232,193,36,283
679,713,226,173,504,693,287,677,187
435,173,303,78,159,195,699,30,175
435,30,514,78,159,195,135,216,28
435,30,514,78,159,114,210,216,716
270,208,222,170,504,114,217,481,258
429,208,119,249,504,114,167,504,659
526,30,514,78,159,232,464,216,149
435,30,737,78,159,195,178,30,688
435,30,514,78,159,114,434,30,118
270,298,75,78,159,114,435,30,462
435,30,737,78,159,114,207,30,292
78,713,713,260,504,72,113,677,318
270,30,12,170,159,195,217,208,493
435,30,514,78,159,114,471,30,137
721,298,115,529,504,247,199,504,7
471,30,177,196,159,195,111,256,31
707,298,36,78,159,114,444,30,274
435,88,10,78,159,114,630,55,158
435,30,631,78,159,114,651,30,64
191,30,657,78,159,232,65,30,316
298,30,115,119,504,178,178,511,131
166,208,214,78,159,232,471,216,440
30,215,37,45,504,71,303,457,169
307,30,737,170,159,195,698,36,24
166,208,214,78,159,232,471,216,53
435,30,737,170,159,114,479,208,691
307,30,703,78,159,195,707,36,73
270,30,10,170,159,114,229,30,95
471,30,10,78,159,195,699,36,421
526,30,657,78,159,195,298,30,300
119,30,12,170,159,114,479,55,46
663,30,189,78,159,232,228,30,313
721,30,10,78,159,114,465,30,726
435,298,189,78,159,114,119,30,656
435,173,303,78,159,195,699,30,150
170,208,109,78,159,114,189,55,200
429,650,698,208,504,60,106,481,729
166,127,518,78,159,114,471,216,129
435,30,10,78,159,114,517,30,120
166,208,214,78,159,232,471,216,41
435,30,61,78,159,114,471,30,723
435,30,464,78,159,114,644,30,634
429,116,177,196,504,136,472,55,431
435,30,514,78,159,114,471,30,213
270,208,189,78,303,114,693,55,235
435,30,10,78,159,114,479,30,237
423,30,214,78,159,232,641,30,507
679,713,159,173,504,693,287,677,279
270,173,189,78,159,195,699,30,197
423,30,701,78,159,114,699,30,478
526,208,514,78,159,114,52,30,98
435,30,230,78,159,195,51,30,443
435,30,10,78,159,114,471,216,26
435,173,631,78,159,195,471,30,3
108,127,737,170,159,114,14,55,57
526,30,737,170,159,195,178,30,638
435,30,84,78,159,114,699,30,308
435,30,10,78,159,195,699,30,422
435,30,10,78,159,114,699,216,25
435,30,737,78,159,114,178,36,239
435,30,737,78,159,114,207,30,152
471,30,230,78,159,114,699,30,424
252,30,518,78,159,232,471,30,510
108,30,222,196,504,114,111,36,428
170,208,657,170,303,114,116,55,273
30,30,631,78,159,114,699,55,153
270,208,737,170,159,114,217,208,642
435,30,214,78,159,114,207,216,524
270,298,303,170,159,114,699,698,722
435,30,703,78,159,114,54,30,439
42,208,82,196,504,195,199,30,490
435,173,631,78,159,114,699,30,277
523,37,15,217,504,122,140,12,79
270,30,514,78,159,195,52,30,665
307,30,692,78,159,114,65,30,242
435,30,514,78,159,114,116,216,719
456,30,10,78,159,232,193,36,669
423,30,214,78,159,232,641,30,35
423,30,701,78,159,114,699,30,47
721,30,703,170,159,195,699,30,675
435,30,631,78,159,114,471,216,646
