Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
149,64,237,213,186,296,292,101,92
180,64,237,213,-1,296,46,197,216
101,102,237,213,-1,296,242,-1,498
16,131,169,120,-1,292,9,101,461
316,64,237,213,186,296,9,101,480
76,231,25,213,-1,296,274,101,517
277,90,237,213,3,103,274,101,30
16,300,103,213,-1,9,9,101,243
76,64,237,213,-1,296,9,101,115
158,64,237,213,-1,296,158,101,194
103,64,237,213,-1,296,164,101,256
231,102,237,213,186,296,9,101,518
149,102,237,76,186,296,308,101,71
149,102,237,213,186,296,9,101,126
76,102,90,213,-1,296,290,101,738
76,64,237,213,-1,296,9,101,221
149,102,16,213,-1,296,9,101,140
277,64,237,213,-1,296,90,101,701
314,91,103,213,-1,103,9,101,482
76,64,237,213,186,296,242,101,632
28,49,31,279,-1,6,9,158,82
103,57,16,213,-1,296,9,101,711
314,91,103,213,-1,103,9,101,285
180,64,25,213,-1,296,95,-1,37
76,64,237,213,-1,296,242,101,269
279,102,237,213,-1,296,9,197,662
76,186,237,213,186,296,242,-1,705
76,64,237,213,-1,296,9,101,650
24,237,169,313,-1,118,180,150,117
16,91,98,76,-1,180,9,101,27
76,231,25,213,-1,296,242,101,127
49,64,237,213,186,296,292,101,144
103,64,237,213,-1,296,242,101,113
49,64,237,213,-1,296,9,101,647
103,102,237,213,-1,296,258,101,240
16,149,103,76,3,5,164,79,500
76,64,209,213,-1,296,57,101,69
274,153,9,258,149,6,150,79,457
103,64,25,213,-1,296,103,-1,522
103,64,25,213,-1,296,57,101,511
76,57,237,213,-1,296,9,101,156
76,102,90,76,-1,103,95,101,245
149,64,25,213,186,296,9,101,136
76,64,237,213,186,296,9,101,4
28,131,131,279,273,47,274,79,270
76,102,237,213,-1,296,292,101,20
316,64,120,213,-1,296,103,101,259
149,64,237,213,186,296,292,101,486
76,64,237,213,-1,296,9,101,106
277,25,103,120,-1,90,273,25,677
76,64,25,213,-1,296,103,101,176
16,91,98,76,-1,180,9,101,190
103,64,237,213,-1,296,242,101,655
149,64,120,213,-1,296,95,101,635
76,64,237,213,-1,296,9,101,734
76,64,237,213,-1,296,9,101,22
180,102,120,213,186,296,46,101,166
103,64,237,213,-1,296,242,101,212
103,57,237,213,-1,296,9,101,494
103,102,237,213,-1,296,242,-1,160
103,64,237,213,-1,296,274,101,189
280,237,90,235,-1,6,292,9,693
103,64,25,213,-1,296,258,101,434
103,102,25,213,186,296,46,-1,43
24,237,169,313,-1,118,180,150,735
103,64,237,213,-1,296,242,101,89
76,64,237,213,-1,296,237,101,309
103,64,25,213,186,296,242,101,704
49,64,90,213,186,296,9,197,648
103,102,237,213,-1,296,9,101,72
103,64,25,213,-1,296,9,101,301
277,91,98,213,-1,103,9,101,203
76,102,25,213,-1,296,103,101,663
76,64,103,213,-1,296,274,101,495
103,64,237,213,-1,296,242,101,459
76,64,90,213,-1,296,242,101,737
16,91,272,213,-1,118,9,101,315
103,102,25,213,-1,296,46,-1,698
158,102,25,213,-1,296,242,101,465
180,64,237,213,186,296,9,101,247
235,131,283,158,149,5,164,25,311
158,64,237,213,-1,296,273,101,721
76,64,237,213,-1,296,9,101,291
101,64,237,213,-1,296,164,101,260
103,64,25,213,-1,296,103,-1,210
242,102,237,120,-1,103,90,3,15
76,64,237,213,-1,296,292,101,645
149,64,237,213,-1,296,292,101,21
103,64,237,213,-1,296,9,101,636
158,64,16,213,-1,296,292,197,441
76,64,237,213,-1,296,242,101,491
103,102,25,213,-1,296,103,-1,227
158,90,237,213,186,296,9,197,298
149,64,237,213,186,296,292,101,652
277,64,237,213,186,296,164,101,444
277,91,98,313,-1,118,258,101,724
277,102,120,213,186,296,242,101,681
7,186,90,213,-1,103,292,197,713
318,149,25,313,-1,79,46,279,238
103,64,25,213,-1,296,103,-1,474
314,90,277,213,186,296,9,197,184
318,64,237,213,-1,296,90,101,718
158,102,25,213,186,296,103,101,633
149,64,237,213,186,296,242,101,99
149,102,237,213,-1,296,9,101,135
76,186,237,213,186,296,242,-1,519
158,102,237,213,-1,296,273,101,469
76,64,237,213,-1,296,6,101,466
149,64,237,213,-1,296,9,101,640
180,64,129,313,-1,296,9,101,697
314,64,277,213,-1,103,9,197,456
79,149,25,313,-1,200,164,279,668
76,102,103,213,-1,296,9,101,222
103,64,25,213,-1,296,95,101,193
158,102,25,213,-1,296,95,-1,639
103,64,25,213,-1,296,9,-1,268
76,64,237,213,-1,296,242,101,685
316,64,237,213,-1,296,9,101,288
64,149,153,313,-1,26,290,101,651
149,64,237,213,-1,296,292,101,255
316,64,237,213,-1,296,9,101,682
76,64,237,213,-1,296,237,101,2
16,91,272,213,-1,118,9,101,251
180,102,120,213,186,296,46,101,320
103,102,237,213,186,296,242,101,653
76,64,237,213,186,296,57,101,452
158,64,237,213,186,296,9,101,241
79,64,314,213,-1,296,9,101,516
76,64,103,213,-1,296,90,101,157
25,308,308,76,-1,118,6,169,481
103,57,237,213,-1,296,9,101,61
277,57,25,213,-1,296,95,101,42
16,90,103,213,186,103,9,308,504
16,64,186,120,-1,103,9,3,435
158,90,237,213,-1,296,102,101,198
242,64,153,279,-1,118,164,292,715
76,64,237,213,-1,296,9,101,97
103,64,103,213,-1,296,6,101,12
277,57,24,213,-1,296,9,101,689
149,102,237,213,-1,296,6,101,211
149,57,237,213,-1,296,9,101,631
149,64,237,213,-1,296,9,101,429
76,64,237,213,-1,296,9,101,703
314,90,277,213,186,296,9,197,220
277,64,237,213,186,296,9,101,470
103,57,237,213,-1,296,9,101,520
76,102,237,213,-1,296,242,101,317
277,102,120,213,186,296,9,101,181
316,64,237,213,-1,296,274,101,105
180,64,103,213,186,296,46,101,19
158,102,25,213,-1,296,103,-1,731
180,102,120,213,186,296,242,101,425
76,64,237,213,-1,296,57,101,467
103,64,237,213,-1,296,242,101,111
76,90,25,213,-1,296,9,101,81
16,91,272,213,-1,118,9,101,714
318,64,237,213,-1,296,9,101,497
258,49,197,118,-1,118,164,25,271
316,64,120,213,-1,296,103,101,206
274,102,237,213,-1,296,9,101,305
79,64,16,213,186,296,9,197,694
274,64,237,213,-1,296,242,101,146
158,102,25,213,-1,296,103,-1,426
242,64,153,279,-1,118,274,292,18
103,64,237,213,-1,296,258,101,687
314,149,197,213,-1,200,9,101,287
316,149,25,213,-1,200,9,197,205
76,102,25,213,-1,296,103,-1,165
103,64,237,213,-1,296,9,101,261
103,64,237,213,186,296,9,101,85
76,90,91,213,186,296,9,197,226
180,102,120,213,186,296,46,101,110
318,64,103,235,-1,180,103,79,45
76,57,25,213,-1,296,9,101,201
149,64,237,213,-1,296,292,101,304
149,64,237,213,-1,296,9,101,312
158,102,237,213,-1,296,242,101,679
76,57,103,213,-1,296,9,101,224
28,149,90,313,-1,26,102,101,509
16,90,103,213,186,103,9,308,248
16,102,90,213,186,296,90,101,174
103,64,237,213,-1,296,242,101,23
277,102,91,213,186,296,9,101,454
274,64,6,76,-1,296,242,101,62
318,64,237,213,-1,296,164,101,29
76,64,103,213,-1,296,9,101,728
76,64,237,213,-1,296,242,101,219
149,64,237,213,186,296,242,101,262
49,64,237,213,186,296,242,101,214
316,102,237,213,-1,296,90,101,86
231,64,237,213,186,296,9,101,44
76,102,103,213,-1,296,9,101,294
79,64,237,213,-1,296,292,197,672
180,102,6,213,-1,296,242,101,66
76,64,237,213,-1,296,9,101,77
180,102,237,213,186,296,158,101,116
76,57,103,213,-1,296,9,101,695
149,64,237,213,-1,296,242,101,525
76,64,103,213,-1,296,9,101,479
76,64,237,213,-1,296,9,101,172
