Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
90,440,149,118,209,431,95,74,522
723,440,149,118,684,3,684,175,682
723,440,209,118,684,102,460,175,712
723,440,149,118,120,102,499,175,718
638,440,209,118,209,175,659,175,495
638,440,149,118,209,3,726,175,452
277,440,149,118,209,3,9,175,520
638,31,209,118,272,3,684,175,81
716,440,209,118,684,3,290,431,465
710,134,209,118,209,3,131,175,267
710,478,272,118,290,306,9,129,315
638,440,149,153,209,3,665,150,299
638,440,209,118,209,3,9,150,690
733,134,76,120,290,431,101,95,171
277,440,521,118,209,3,9,175,673
638,440,149,153,684,3,659,431,427
638,440,209,719,209,3,9,431,234
638,440,521,118,209,3,9,431,39
710,440,149,118,209,102,9,175,281
277,440,733,118,684,102,9,175,181
79,440,76,118,209,102,665,175,211
488,440,149,153,684,3,684,175,151
733,440,292,118,209,102,258,175,216
90,440,209,118,120,431,102,175,193
476,440,292,118,209,3,528,150,260
180,440,209,118,209,102,102,175,698
638,440,149,118,209,3,665,175,466
180,300,28,118,209,3,9,74,285
197,213,76,719,272,3,9,175,298
638,440,149,290,272,3,9,175,432
306,134,300,316,316,102,279,290,526
723,440,209,118,120,175,9,175,295
646,153,316,634,316,231,659,49,270
277,134,76,118,290,521,273,175,509
180,440,149,118,209,3,101,175,189
723,79,76,118,684,3,665,175,141
277,440,149,118,272,150,659,175,8
723,440,209,118,120,102,665,175,449
638,440,46,118,272,3,684,175,666
277,440,209,118,209,175,676,175,130
175,26,129,118,290,152,659,9,435
90,440,209,118,684,3,102,175,192
638,440,76,118,209,102,49,175,505
64,440,149,290,209,3,102,175,19
277,440,209,153,209,3,292,175,434
638,440,149,153,209,175,101,175,527
1,440,76,118,209,3,101,175,105
64,440,422,118,209,3,9,175,697
277,440,149,118,209,3,9,431,0
1,129,57,290,120,3,659,175,468
638,440,76,153,272,3,101,431,122
638,440,209,118,209,175,9,74,728
318,440,237,118,209,3,9,175,195
638,440,149,118,209,3,9,175,156
723,26,149,118,684,3,659,175,179
723,440,149,118,209,102,9,175,56
733,440,149,118,120,3,95,175,633
180,440,209,118,209,3,9,175,128
638,440,209,153,209,3,9,175,301
638,440,149,118,209,3,95,74,165
277,440,149,118,684,3,9,175,454
723,440,149,118,684,3,290,175,658
180,300,28,118,209,3,9,175,447
46,129,473,25,290,26,521,213,18
1,440,149,118,684,3,9,175,480
318,440,149,118,684,3,131,150,670
488,440,209,118,209,431,9,175,172
1,440,209,118,684,3,102,175,42
424,440,76,290,209,3,9,175,647
638,440,209,118,120,3,101,431,517
277,478,28,118,290,306,274,129,724
76,440,149,118,120,3,9,175,305
76,440,209,118,209,431,9,175,479
638,440,209,118,209,3,684,175,224
424,213,209,118,209,3,9,175,201
638,440,292,118,209,3,659,431,20
237,134,76,118,209,102,237,175,717
46,31,120,118,684,292,98,175,15
300,440,149,118,209,3,665,175,732
64,440,659,290,684,3,9,431,70
634,440,149,290,209,3,688,175,174
634,440,149,118,209,3,95,175,232
646,440,3,118,684,3,237,175,515
638,440,149,153,272,102,460,175,177
90,440,149,118,684,3,95,431,33
476,440,76,719,209,3,684,74,123
180,440,521,118,209,3,102,175,43
524,134,493,719,290,152,102,300,430
277,440,76,118,209,3,9,431,662
90,440,16,118,209,102,102,175,110
64,231,680,118,684,292,101,175,30
306,134,300,316,316,102,279,290,487
180,440,209,118,684,3,95,175,426
723,440,149,719,209,3,9,175,514
237,440,149,153,684,3,665,431,304
638,440,149,118,272,3,292,175,176
