Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
649,28,306,719,95,3,134,150,487
424,28,306,719,95,3,684,150,492
649,422,134,719,95,3,473,150,255
186,28,277,719,95,3,90,74,44
273,258,274,719,95,3,528,74,653
438,675,49,213,421,3,102,150,221
493,642,634,719,95,719,90,150,425
424,258,129,719,95,3,521,150,692
477,258,237,719,95,3,665,150,48
424,258,634,175,422,3,237,150,59
186,3,129,175,422,3,90,74,463
656,462,316,460,95,490,460,499,502
424,258,274,719,95,3,164,150,673
258,696,95,478,95,716,131,422,311
438,46,129,719,95,3,665,150,437
691,28,646,175,95,3,90,150,174
316,28,726,175,95,719,6,129,704
306,493,634,150,95,3,90,158,734
659,118,153,318,95,152,460,499,668
438,675,9,213,421,3,676,150,50
46,24,283,719,422,3,90,150,660
235,696,316,634,316,637,665,49,270
273,696,235,729,95,462,460,462,304
7,118,153,318,95,292,90,499,205
656,258,237,719,95,3,90,150,698
169,28,235,150,95,719,473,158,112
438,300,134,150,422,213,460,129,527
439,28,235,719,422,719,665,129,216
723,28,237,719,95,3,499,158,93
424,28,277,719,95,3,684,150,144
424,675,638,719,95,3,90,150,644
308,476,646,496,95,292,665,129,233
273,300,129,719,95,3,488,74,302
46,28,272,719,95,3,101,150,695
279,258,634,175,95,719,90,158,145
438,675,200,213,421,3,676,150,728
438,258,134,719,95,3,638,150,295
46,28,688,719,95,3,164,150,171
46,258,634,719,95,3,528,74,459
656,642,237,719,422,3,638,150,702
316,28,277,318,95,292,684,129,262
438,675,274,719,95,3,164,150,276
438,28,634,150,95,152,473,158,139
424,422,134,175,95,3,101,150,429
46,258,134,719,95,3,460,150,520
279,493,237,318,95,292,90,129,267
478,642,235,175,95,3,499,158,70
438,28,9,318,95,3,684,150,176
46,258,688,719,95,3,98,150,192
438,675,283,213,421,3,274,150,495
424,300,476,719,95,3,665,150,484
200,696,95,634,95,716,9,507,500
438,258,643,719,95,3,98,74,22
46,642,134,719,95,3,164,74,475
424,46,274,719,95,3,95,150,143
424,258,488,462,95,3,499,150,136
438,258,134,719,95,3,499,150,75
46,118,424,634,95,292,6,31,509
438,258,273,719,422,3,499,150,151
46,462,460,175,95,723,521,637,456
510,28,290,26,95,152,46,129,712
46,675,134,213,422,3,102,150,465
510,462,478,478,95,118,237,197,206
187,438,296,74,95,723,131,129,191
186,258,237,719,422,3,499,150,670
73,28,272,719,95,3,102,158,13
438,300,274,175,95,3,164,150,185
91,696,292,719,95,719,665,150,161
649,493,283,719,422,3,235,150,32
656,258,134,213,95,3,684,150,111
649,422,134,719,95,3,493,158,212
656,300,274,719,95,3,460,150,173
169,28,197,719,422,3,488,158,54
438,258,134,719,422,3,638,150,423
318,118,134,719,95,719,46,158,444
273,3,634,719,95,719,638,150,426
656,462,634,175,422,3,460,150,282
649,5,688,719,95,3,473,74,21
656,642,129,719,95,3,98,150,241
438,675,9,306,95,3,676,74,317
169,642,634,719,95,3,684,150,489
510,462,643,318,95,646,460,422,497
28,493,274,719,95,3,273,150,515
73,258,296,175,95,292,460,478,42
73,462,493,733,95,3,102,129,635
649,28,306,719,95,3,134,150,526
424,46,274,719,95,3,95,150,319
306,28,634,719,95,719,237,150,284
273,422,129,719,95,3,9,74,513
424,28,277,175,95,3,684,150,436
510,28,277,719,95,3,90,150,58
656,28,235,719,95,719,258,150,67
49,462,688,175,95,524,164,129,195
438,675,49,213,421,3,292,150,434
656,258,634,719,95,3,684,150,474
438,462,316,659,95,490,237,478,182
318,258,634,719,95,3,665,150,105
46,642,688,719,95,3,90,74,61
438,46,134,719,95,3,688,150,55
424,300,476,719,95,3,665,150,179
438,28,9,634,95,292,102,129,632
649,422,134,719,95,3,473,150,297
46,24,283,719,422,3,90,150,482
