Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
736,260,136,243,178,245,687,127,292
188,114,673,712,214,245,735,127,661
107,114,36,712,178,245,735,127,478
177,114,673,712,214,444,93,127,31
107,260,36,712,178,245,735,127,280
639,114,36,712,214,245,735,127,669
116,693,448,161,178,715,518,182,164
633,114,673,712,214,245,69,127,422
241,114,673,712,178,245,511,127,204
37,114,36,712,178,245,735,127,643
107,260,67,712,214,738,699,446,49
241,114,673,712,214,245,69,127,180
190,72,713,639,178,232,515,720,710
479,114,673,712,178,245,487,127,242
284,303,519,173,178,518,208,457,274
736,114,519,712,178,245,735,127,200
252,114,36,712,178,245,735,127,308
37,114,36,712,214,245,735,127,296
233,136,55,712,492,178,39,127,528
639,114,673,712,214,245,69,446,277
730,114,673,712,214,245,735,127,476
677,37,17,207,178,433,70,182,688
189,114,673,712,214,245,735,127,79
107,114,519,712,178,245,93,127,7
148,114,673,712,178,245,692,127,137
177,114,673,712,214,245,93,127,428
107,114,36,712,178,245,93,127,440
639,114,36,712,214,245,735,127,283
107,114,36,712,492,245,511,127,1
433,260,461,110,214,178,60,127,642
107,114,36,712,492,245,93,127,16
241,114,36,712,492,245,511,446,473
252,114,673,712,178,245,69,127,439
433,260,55,641,178,285,142,127,101
107,114,519,712,178,245,735,127,202
633,114,519,712,492,245,735,127,634
433,136,36,712,178,245,317,697,158
639,114,36,712,178,245,69,446,175
77,114,36,712,178,444,487,127,76
177,114,36,712,214,245,735,446,24
236,114,36,712,492,245,69,127,64
481,114,294,243,178,178,517,697,6
107,114,36,712,178,444,93,127,5
208,114,136,712,214,245,211,446,665
12,731,206,227,178,215,730,75,98
252,114,36,712,492,245,69,127,272
77,114,36,712,214,245,93,127,507
433,114,673,712,214,245,163,697,684
736,260,136,243,178,245,687,446,152
433,15,159,681,178,215,227,287,95
107,114,673,712,214,245,93,127,637
107,114,36,712,492,245,93,127,153
241,114,36,712,214,245,511,127,25
705,114,36,712,214,444,93,127,438
252,114,36,712,178,245,69,127,680
107,114,519,712,178,245,735,127,231
241,114,673,712,214,245,69,127,716
15,114,36,712,214,245,71,127,313
161,170,30,639,178,448,425,527,499
433,260,289,243,178,245,705,127,722
107,114,67,712,178,245,69,127,149
78,303,693,119,178,518,240,287,638
107,114,36,712,492,245,735,446,318
77,114,36,712,214,245,93,127,35
639,114,36,712,214,245,69,127,314
107,114,673,712,214,245,735,127,485
479,114,36,712,178,245,735,127,47
241,114,36,712,214,245,69,127,719
177,114,36,712,214,738,117,127,73
639,114,519,712,178,245,93,127,134
77,114,673,712,214,245,93,127,431
736,114,36,712,178,245,69,446,169
241,114,673,712,178,245,69,127,197
40,121,448,173,178,108,286,225,676
148,114,55,712,178,245,664,127,102
12,163,126,639,178,505,738,67,460
177,114,36,712,214,738,93,127,726
107,260,36,712,492,245,735,127,129
107,114,36,712,214,245,93,446,118
107,114,673,712,178,444,93,127,477
30,693,96,433,178,518,515,122,273
433,260,461,110,178,178,60,127,258
241,114,36,712,214,245,511,127,213
241,114,673,712,178,245,69,127,496
639,114,36,712,178,245,69,127,150
639,114,36,712,214,245,511,127,91
107,114,673,712,492,245,93,446,421
148,260,157,243,214,245,630,127,493
639,114,673,712,178,245,69,127,656
233,84,254,639,178,714,463,667,290
190,72,713,639,178,232,515,720,103
107,114,673,712,214,245,93,127,490
705,114,673,712,178,444,93,127,306
435,426,161,641,214,178,39,720,237
252,114,36,712,214,245,69,446,120
177,114,673,712,178,245,487,127,186
107,114,36,712,178,245,93,127,41
241,114,36,712,214,245,69,127,443
241,114,36,712,492,245,69,127,26
208,641,711,127,178,650,54,30,131
107,114,673,712,214,245,93,127,300
730,114,36,712,178,245,735,127,293
177,114,673,712,178,245,487,127,510
107,114,36,712,214,245,93,446,53
107,114,519,712,492,245,93,127,316
639,114,36,712,214,245,69,127,209
188,114,673,712,492,245,735,127,453
241,114,36,712,178,245,511,127,646
107,114,36,712,492,245,487,127,279
241,114,673,712,178,245,511,127,3
107,114,673,712,178,245,735,127,649
241,114,519,712,214,245,69,127,524
107,114,55,712,178,245,69,127,488
107,114,36,712,492,245,487,127,187
693,303,518,161,178,18,736,182,9
678,641,677,116,178,228,513,157,659
252,114,673,712,214,245,69,127,462
121,260,157,712,214,245,463,127,90
636,114,55,712,178,245,692,127,723
107,260,468,712,178,738,93,446,57
190,72,713,639,178,232,515,720,691
37,114,673,712,178,245,735,127,696
77,114,673,712,214,245,93,127,74
639,114,36,712,178,245,69,127,239
107,114,36,712,178,178,487,127,675
236,114,36,712,214,245,69,127,28
208,260,136,243,492,245,244,127,521
715,72,256,173,178,244,114,206,46
107,114,36,712,214,245,93,127,729
433,260,36,243,178,738,289,127,235
236,114,36,712,178,245,69,127,733
107,114,67,712,178,245,487,127,424
