Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
42,484,671,712,518,51,281,115,202
42,484,671,712,262,119,0,42,95
190,190,222,523,190,513,225,513,691
42,484,671,712,518,51,281,115,76
42,484,671,712,518,211,692,115,634
42,484,671,712,518,51,692,115,1
42,484,671,712,518,51,692,115,422
42,484,671,712,262,51,271,115,237
42,484,671,712,518,211,159,111,478
42,484,671,712,518,211,692,115,476
52,711,671,712,518,211,194,111,149
42,484,671,712,518,211,692,115,428
42,484,671,712,518,211,692,115,661
42,484,671,712,518,211,692,429,510
42,484,671,712,518,211,692,115,314
42,484,671,712,518,211,692,115,733
52,484,671,712,518,211,281,115,213
42,484,671,712,518,51,692,115,477
190,285,448,448,190,72,58,502,6
42,484,671,712,518,51,32,115,102
190,285,45,523,190,11,225,513,710
42,484,671,712,518,51,281,115,152
516,484,671,456,518,211,692,70,209
310,484,671,712,518,51,692,429,41
42,484,671,712,518,211,159,115,521
214,484,671,712,518,211,692,651,313
42,484,671,712,518,51,692,70,153
42,484,671,119,262,211,692,115,150
42,484,671,712,518,211,692,115,646
715,461,92,736,190,707,257,241,131
42,484,671,712,518,119,692,111,120
310,484,671,712,518,51,692,111,637
52,484,671,243,518,211,692,111,293
301,441,671,712,518,211,692,141,296
42,484,671,712,518,119,692,429,187
52,201,671,712,262,686,735,111,528
310,484,671,712,262,211,281,115,35
42,484,671,712,518,51,319,253,676
42,484,671,712,518,211,692,115,316
190,163,698,448,190,241,317,256,722
42,484,671,712,518,51,692,111,7
15,441,671,37,518,119,281,111,46
214,243,671,693,518,233,695,450,659
52,441,671,712,518,211,267,111,274
42,484,671,712,518,51,281,115,292
42,484,671,712,262,211,692,429,318
42,653,671,37,518,51,297,111,665
516,484,671,243,518,51,692,111,129
42,711,671,712,518,51,692,111,726
42,484,671,712,518,211,281,115,3
42,201,671,712,518,51,48,111,98
42,484,671,712,518,51,692,111,31
310,484,671,712,262,211,281,115,507
42,484,671,712,518,211,692,115,79
190,449,301,15,190,37,698,511,158
42,484,671,712,518,211,692,115,723
42,484,671,119,518,51,32,115,90
42,484,671,712,518,236,159,115,258
42,484,671,712,262,51,0,115,493
42,484,671,712,518,51,692,115,485
310,484,671,712,518,51,692,429,440
42,484,671,119,518,211,692,111,499
516,484,671,712,518,51,692,115,5
52,484,671,712,518,51,692,429,73
190,285,45,523,190,11,225,513,103
505,243,671,712,262,45,703,304,9
42,484,671,712,518,211,692,115,137
301,201,671,712,518,211,194,111,200
42,484,671,712,518,211,692,115,719
42,484,671,119,518,211,692,115,656
42,484,671,119,262,211,692,429,424
42,201,671,37,518,51,32,115,101
42,484,671,712,518,211,692,115,239
42,484,671,119,518,211,692,115,524
42,484,671,712,518,51,692,509,26
42,484,671,712,518,211,692,429,186
42,484,671,119,518,211,692,253,431
42,484,671,119,262,211,692,115,175
42,484,671,712,518,51,84,111,684
42,484,671,712,518,51,183,111,688
42,484,671,712,518,119,631,111,290
42,484,671,119,518,211,692,253,74
52,711,671,712,518,211,194,260,421
42,484,671,712,518,211,692,429,716
42,484,671,712,262,211,692,111,438
42,484,671,712,262,211,281,115,197
512,470,45,60,190,115,311,470,638
310,484,671,712,518,51,692,429,53
42,484,671,712,262,51,692,115,231
42,484,671,119,518,211,692,115,308
495,441,671,712,518,211,94,195,164
42,484,671,243,518,51,692,111,91
42,484,671,712,518,211,692,429,306
42,484,671,712,518,119,692,111,49
52,484,671,243,262,51,692,115,57
495,484,671,712,262,51,692,111,280
301,441,671,712,518,211,692,111,643
42,484,671,712,518,211,692,115,118
170,201,671,677,262,51,692,111,649
42,484,671,119,518,211,692,429,242
310,484,671,712,518,211,692,111,490
42,484,671,712,262,51,692,509,443
301,484,671,456,518,51,692,111,272
42,484,671,712,518,51,692,651,729
42,484,671,712,518,211,32,111,460
42,484,671,712,518,236,159,111,642
52,484,671,712,262,51,692,115,24
42,484,671,712,518,51,692,115,25
42,484,671,712,518,211,159,111,47
42,484,671,119,518,51,692,115,453
113,201,671,712,518,236,692,111,283
301,653,671,712,518,51,692,111,696
42,484,671,712,518,211,692,115,64
42,484,671,712,262,211,281,115,496
42,484,671,712,518,211,692,115,675
42,484,671,712,518,211,692,115,488
52,484,671,712,518,51,692,111,134
42,484,671,119,518,211,692,115,28
42,484,671,712,518,119,692,429,279
42,484,671,712,518,211,692,115,462
301,243,671,37,518,211,167,195,273
42,484,671,712,518,211,194,111,680
42,484,671,712,518,211,281,115,204
42,484,671,712,518,211,692,115,473
42,484,671,712,518,211,692,429,180
42,484,671,712,262,211,692,115,439
113,201,671,712,518,236,692,111,669
42,484,671,119,518,211,692,115,16
721,201,671,119,518,51,692,111,169
42,484,671,712,518,51,692,115,300
42,484,671,712,518,51,0,115,235
42,484,671,712,518,211,692,115,277
