Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
46,696,422,422,283,675,665,719,630
431,716,476,422,283,3,659,719,718
7,440,152,719,283,3,9,719,728
16,676,197,422,283,675,659,719,681
431,180,296,318,283,129,235,642,730
521,726,16,318,283,169,665,235,677
438,726,9,313,421,120,95,152,707
438,716,688,719,283,3,235,719,692
438,440,634,422,283,3,659,719,645
7,716,318,422,283,3,665,719,667
149,688,272,150,283,528,9,675,724
16,231,6,422,283,3,98,719,694
431,209,9,9,421,478,98,137,682
46,292,24,422,283,490,274,719,651
424,231,488,422,283,3,9,719,648
431,726,453,318,31,120,95,150,704
431,726,453,318,31,120,95,150,674
431,716,476,422,283,3,659,719,658
462,152,524,422,283,3,638,719,717
438,716,318,719,283,3,659,719,654
438,696,634,153,283,490,131,473,647
7,26,675,95,283,231,659,129,633
488,272,9,493,283,691,237,204,672
7,440,292,422,283,675,676,719,703
438,716,318,422,283,3,665,719,732
7,235,76,719,283,3,659,719,725
424,696,152,422,283,3,101,719,711
438,716,274,422,283,3,101,719,632
7,1,24,422,283,3,101,719,641
7,440,634,422,283,3,659,719,734
438,440,634,719,283,28,273,719,666
438,716,634,719,283,28,101,719,699
57,726,57,318,421,120,95,719,689
424,716,6,422,283,3,90,719,687
149,231,488,422,283,675,90,719,678
723,696,90,422,283,3,101,719,706
438,440,6,422,283,3,665,719,727
431,134,493,438,283,118,665,5,635
438,53,152,422,283,3,460,719,709
438,716,274,422,283,3,659,719,673
634,438,129,422,283,490,235,719,701
424,202,95,422,283,3,101,719,662
438,726,453,318,31,120,95,150,683
7,53,6,719,283,3,684,719,640
7,26,524,422,283,490,684,719,713
7,440,6,422,283,3,659,719,731
7,716,638,422,283,3,659,719,695
231,49,316,318,283,169,9,129,671
438,716,488,422,283,3,101,719,670
7,716,688,422,283,3,665,719,631
424,726,152,422,31,490,722,719,652
7,231,476,422,283,675,460,719,663
438,675,57,719,31,490,521,719,685
438,478,6,422,283,3,101,719,650
7,53,6,422,283,3,237,719,655
149,28,272,422,283,528,90,719,714
7,231,25,422,283,490,9,719,738
158,440,26,422,283,675,98,719,715
7,440,152,422,283,3,676,719,712
431,306,316,153,283,638,102,239,679
7,237,26,422,283,490,499,719,657
462,152,524,422,283,3,638,719,668
7,440,24,719,283,3,235,719,636
7,716,476,422,283,3,659,719,737
438,675,476,719,31,490,95,719,708
7,716,488,422,283,3,665,719,735
290,235,634,422,283,3,521,719,697
431,696,493,438,283,118,665,5,664
438,440,277,719,283,3,638,719,653
16,440,634,422,283,3,676,719,721
49,676,6,422,283,204,665,719,639
7,231,25,422,283,675,665,719,698
158,440,129,719,283,3,98,719,736
438,675,488,719,31,490,638,719,720
7,696,722,438,283,118,659,5,700
438,440,57,719,283,3,665,719,705
91,31,488,422,283,675,98,719,660
7,440,488,719,283,3,665,719,702
638,485,209,422,283,528,273,680,693
7,440,488,422,283,3,101,719,644
7,716,272,422,283,3,638,719,690
438,716,634,719,283,28,235,719,686
