Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released,SampleID
184,114,70,-1,503,178,511,-1,646
461,114,481,243,71,178,222,127,642
42,114,70,243,71,282,505,127,649
701,260,161,243,71,133,245,444,659
724,697,693,639,71,37,257,474,676
682,114,70,-1,71,178,93,-1,726
37,114,70,243,71,178,511,-1,723
184,114,70,-1,503,178,663,-1,719
433,114,694,243,71,459,289,127,684
260,114,481,243,71,178,127,127,665
220,114,70,-1,71,178,644,-1,661
682,725,481,712,71,133,93,127,675
70,260,119,219,71,133,116,127,691
37,260,230,712,71,282,663,127,729
184,114,70,-1,503,444,663,-1,680
220,114,70,712,71,178,511,-1,696
37,114,70,243,71,178,511,-1,634
251,260,289,523,71,228,224,444,722
220,114,70,243,71,178,511,-1,656
682,319,70,712,71,178,93,-1,637
70,260,119,219,71,133,116,127,710
184,114,481,-1,503,444,511,-1,643
184,114,481,-1,503,178,663,-1,733
220,114,481,712,503,178,511,-1,669
449,227,157,712,178,282,244,127,638
184,114,70,-1,503,178,511,-1,716
248,260,694,219,71,282,172,260,688
