exp,token,attribute,tuple,weight,data_inx
0,ulusoy,authors,R,0.12620628330757672,9
0,bibliography,title,L,0.11148912263154842,9
0,real-time,title,R,0.10731056678755653,9
0,özgür,authors,L,0.0962143442824758,9
0,real-time,title,L,0.09032569275856406,9
0,systems,title,R,0.08314460640486263,9
0,ulusoy,authors,L,0.07188684428028498,9
0,an,title,R,0.06519244665677805,9
0,sigmod,venue,L,0.06036778586455882,9
0,database,title,R,0.05681449136859857,9
0,1995,year,L,0.05599831636749154,9
0,r,authors,R,0.05301836401585895,9
0,&#252;,authors,R,0.042366980368469816,9
0,acm,venue,R,-0.041533951229904865,9
0,systems,title,L,0.038641877006310964,9
0,zg,authors,R,-0.037392594322283666,9
0,an,title,L,0.03543343226656792,9
0,sigmod,venue,R,-0.03293593161418876,9
0,record,venue,R,-0.03018104365364346,9
0,record,venue,L,-0.021354235341060877,9
1,conference,venue,L,0.18371483695135718,16
1,fundamental,title,R,0.15943089203677296,16
1,optimization,title,R,0.10683838082474832,16
1,1996,year,L,0.09426534476367766,16
1,optimization,title,L,0.08721013888294879,16
1,for,title,L,0.07233710610248281,16
1,techniques,title,R,0.0696174797241889,16
1,fundamental,title,L,0.06512907557994886,16
1,malkemus,authors,L,0.0628616181452934,16
1,conference,venue,R,0.05795012453070603,16
1,order,title,R,0.05031811147224072,16
1,management,venue,R,-0.048201848723555846,16
1,shekita,authors,R,-0.043045933301534195,16
1,j.,authors,L,-0.04212510558482651,16
1,eugene,authors,R,0.03977969270896588,16
1,order,title,L,0.03744870121259577,16
1,simmen,authors,L,-0.035957191913256914,16
1,david,authors,R,0.03525155979560832,16
1,sigmod,venue,L,0.033779257316684685,16
1,international,venue,R,0.028834938959625363,16
2,1994,year,R,0.1432921012275233,59
2,1994,year,L,0.14210484237058632,59
2,structured-text,title,R,-0.11898840316509977,59
2,w.,authors,L,0.11809313703563337,59
2,system,title,R,0.08256768299140076,59
2,an,title,L,0.08185209698855822,59
2,retrieval,title,L,0.08020717037127595,59
2,annevelink,authors,R,-0.07758295964673721,59
2,structured-text,title,L,0.0626795032345854,59
2,yan,authors,L,0.061112933138071014,59
2,retrieval,title,R,0.05403382883135718,59
2,integrating,title,L,0.05374628309048121,59
2,with,title,L,-0.05135892327917086,59
2,a,title,R,0.044717266202118786,59
2,database,title,L,0.04364211375101095,59
2,an,title,R,0.04361908574099037,59
2,with,title,R,0.036688225840257355,59
2,system,title,L,0.033174003715948044,59
2,yan,authors,R,0.023818701430786477,59
2,very,venue,R,0.004145746748469323,59
3,aggarwal,authors,L,0.13840485246572992,84
3,2002,year,L,0.13793265021659973,84
3,aggarwal,authors,R,0.11088098889073557,84
3,conference,venue,L,0.10053073345294795,84
3,framework,title,L,0.09155577110445211,84
3,2002,year,R,0.06758943257369035,84
3,:,title,R,0.061992107378754706,84
3,a,title,R,0.0601950847997754,84
3,dimensional,title,R,0.05818793980307177,84
3,charu,authors,L,0.05773923298345206,84
3,for,title,R,0.04664344718019997,84
3,neighbor,title,R,0.041275569101732086,84
3,search,title,L,0.03677404758994824,84
3,data,title,L,0.036622085519027646,84
3,hierarchical,title,L,0.0317501701536263,84
3,search,title,R,0.03144559686845969,84
3,data,venue,R,0.028228272562392877,84
3,hierarchical,title,R,0.016935249770591014,84
3,selectivity,title,R,0.01609174707835058,84
3,management,venue,R,0.01596293973160995,84
4,bernstein,authors,R,0.16634596304020371,97
4,object,title,R,0.1354916420222527,97
4,sigmod,venue,R,0.10556302507442918,97
4,oriented,title,R,0.10530833219608624,97
4,record,venue,R,0.07767749951869805,97
4,oriented,title,L,0.0639217678962477,97
4,bernstein,authors,L,0.06326484173320404,97
4,1998,year,R,0.05480356162178198,97
4,repositories,title,R,0.05201089432606157,97
4,databases,title,R,0.05126585200969381,97
4,sigmod,venue,L,-0.04859904975419812,97
4,a.,authors,R,0.046921183818110834,97
4,repositories,title,L,0.044979322914896036,97
4,object,title,L,0.04396431217917929,97
4,and,title,L,0.04297394769057937,97
4,a.,authors,L,-0.042706048079808705,97
4,1998,year,L,0.03625984859526687,97
4,philip,authors,L,0.03384630555323024,97
4,and,title,R,-0.02487111184066369,97
4,acm,venue,R,0.02453296898559419,97
5,li,authors,R,-0.14377738989818575,109
5,in,title,L,0.140440360744313,109
5,oriented,title,L,0.13978381429020287,109
5,methods,title,L,0.13843571044419922,109
5,j.,venue,L,-0.11590417971297198,109
5,2003,year,L,0.10149002936868637,109
5,",",authors,R,-0.08147606931381263,109
5,kamalakar,authors,L,0.0709225517456442,109
5,qing,authors,L,0.06761277292382303,109
5,oriented,title,R,0.06379038371924883,109
5,very,venue,R,0.06262896207361048,109
5,fung,authors,L,0.05660966411256351,109
5,kamalakar,authors,R,0.0542224481900799,109
5,object,title,R,0.04943731301493168,109
5,partitioning,title,R,0.0467460338201191,109
5,vertical,title,L,0.04063406903699032,109
5,",",authors,L,0.03255559393210395,109
5,for,title,L,0.031044383882746607,109
5,databases,title,R,0.028384641609903186,109
5,for,title,R,0.010694090684570733,109
6,1994,year,R,0.2207241682005306,112
6,modeling,title,L,0.1650580338049082,112
6,toiati,authors,L,0.1276761736585864,112
