ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,originalRightId
adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe dreamweaver cs3,adobe,199.0,"('title',)",0@1273
adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe dreamweaver cs3,,199.0,"('title', 'manufacturer')",0@1273
adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe dreamweaver cs3,adobe,415.99,"('title', 'price')",0@1273
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],,1659.99,"('title',)",1@324
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],adobe,1659.99,"('title', 'manufacturer')",1@324
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],,599.0,"('title',)",1@2860
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],adobe,599.0,"('title', 'manufacturer')",1@2860
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],,699.0,"('title',)",1@2839
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],adobe,699.0,"('title', 'manufacturer')",1@2839
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],,206.99,"('title',)",1@176
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],adobe,206.99,"('title', 'manufacturer')",1@176
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],,725.99,"('title',)",1@331
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],adobe,725.99,"('title', 'manufacturer')",1@331
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,29.99,"('title',)",0@558
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,,29.99,"('title', 'manufacturer')",0@558
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,22.9,"('title', 'price')",0@558
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,49.99,"('title',)",0@276
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,,49.99,"('title', 'manufacturer')",0@276
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,22.9,"('title', 'price')",0@276
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,,"('title',)",0@646
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,,,"('title', 'manufacturer')",0@646
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,22.9,"('title', 'price')",0@646
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,39.99,"('title',)",0@890
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,,39.99,"('title', 'manufacturer')",0@890
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,22.9,"('title', 'price')",0@890
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,39.99,"('title',)",0@554
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,,39.99,"('title', 'manufacturer')",0@554
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,22.9,"('title', 'price')",0@554
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,19.99,"('title',)",0@389
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,,19.99,"('title', 'manufacturer')",0@389
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion translator deluxe 2.0,topics entertainment,22.9,"('title', 'price')",0@389
instant immersion translator deluxe 2.0,,22.9,instant immersion translator deluxe 2.0,,19.95,"('title',)",1@1666
instant immersion translator deluxe 2.0,,22.9,instant immersion translator deluxe 2.0,topics entertainment,19.95,"('title', 'manufacturer')",1@1666
instant immersion translator deluxe 2.0,,22.9,instant immersion translator deluxe 2.0,,49.99,"('title', 'price')",1@1666
me too software i transfer dvds 2 ipod,me-too-software,29.99,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,29.99,"('title', 'price')",1@1447
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,adobe,449.99,"('title',)",0@270
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,,449.99,"('title', 'manufacturer')",0@270
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,adobe,205.99,"('title', 'price')",0@270
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,adobe,499.0,"('title',)",0@608
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,adobe,205.99,"('title', 'price')",0@608
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,,49.95,"('title', 'manufacturer')",0@866
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,adobe,199.0,"('title',)",0@216
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,,199.0,"('title', 'manufacturer')",0@216
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,adobe,205.99,"('title', 'price')",0@216
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,adobe,199.0,"('title',)",0@562
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,,199.0,"('title', 'manufacturer')",0@562
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,adobe,205.99,"('title', 'price')",0@562
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 flash professional upgrade,adobe,205.99,"('title', 'price')",0@6
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],,1659.99,"('title',)",1@324
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,1659.99,"('title', 'manufacturer')",1@324
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],,599.0,"('title',)",1@2860
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,599.0,"('title', 'manufacturer')",1@2860
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],,517.99,"('title',)",1@531
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,517.99,"('title', 'manufacturer')",1@531
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],,413.99,"('title',)",1@368
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,413.99,"('title', 'manufacturer')",1@368
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],,239.99,"('title',)",1@448
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,239.99,"('title', 'manufacturer')",1@448
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,199.99,"('title', 'manufacturer')",1@358
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],,724.99,"('title',)",1@352
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,724.99,"('title', 'manufacturer')",1@352
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],,192.99,"('title',)",1@984
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,192.99,"('title', 'manufacturer')",1@984
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],,859.96,"('title',)",1@3161
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,859.96,"('title', 'manufacturer')",1@3161
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],,145.99,"('title',)",1@367
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,145.99,"('title', 'manufacturer')",1@367
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],,619.99,"('title',)",1@893
adobe cs3 flash professional upgrade,,205.99,adobe flash pro cs3 upgrade [ mac ],adobe,619.99,"('title', 'manufacturer')",1@893
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,topics entertainment,,"('title',)",0@971
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,,,"('title', 'manufacturer')",0@971
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,topics entertainment,12.05,"('title', 'price')",0@971
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,topics entertainment,129.99,"('title',)",0@731
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,,129.99,"('title', 'manufacturer')",0@731
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,topics entertainment,12.05,"('title', 'price')",0@731
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,topics entertainment,39.99,"('title',)",0@554
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,,39.99,"('title', 'manufacturer')",0@554
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,topics entertainment,12.05,"('title', 'price')",0@554
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,topics entertainment,29.99,"('title',)",0@274
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,,29.99,"('title', 'manufacturer')",0@274
instant immersion hawaiian audio,topics entertainment,,topics entertainment instant immersion hawaiian audio,topics entertainment,12.05,"('title', 'price')",0@274
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,,19.99,"('title',)",1@2851
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,topics entertainment,19.99,"('title', 'manufacturer')",1@2851
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,,,"('title', 'price')",1@2851
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,,36.11,"('title',)",1@3021
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,topics entertainment,36.11,"('title', 'manufacturer')",1@3021
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,,,"('title', 'price')",1@3021
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,,12.05,"('title',)",1@307
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,topics entertainment,12.05,"('title', 'manufacturer')",1@307
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,,,"('title', 'price')",1@307
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,,14.9,"('title',)",1@2062
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,topics entertainment,14.9,"('title', 'manufacturer')",1@2062
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,,,"('title', 'price')",1@2062
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,,36.11,"('title',)",1@3016
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,topics entertainment,36.11,"('title', 'manufacturer')",1@3016
topics entertainment instant immersion hawaiian audio,,12.05,instant immersion hawaiian audio,,,"('title', 'price')",1@3016
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,,"('title',)",0@971
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),,,"('title', 'manufacturer')",0@971
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,19.95,"('title', 'price')",0@971
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,49.99,"('title',)",0@556
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),,49.99,"('title', 'manufacturer')",0@556
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,19.95,"('title', 'price')",0@556
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,49.99,"('title',)",0@599
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),,49.99,"('title', 'manufacturer')",0@599
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,19.95,"('title', 'price')",0@599
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,9.99,"('title',)",0@1321
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),,9.99,"('title', 'manufacturer')",0@1321
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,19.95,"('title', 'price')",0@1321
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,29.99,"('title',)",0@1353
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),,29.99,"('title', 'manufacturer')",0@1353
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,19.95,"('title', 'price')",0@1353
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,31.06,"('title',)",1@621
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,31.06,"('title', 'manufacturer')",1@621
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,,"('title', 'price')",1@621
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,17.55,"('title',)",1@845
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,17.55,"('title', 'manufacturer')",1@845
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,,"('title', 'price')",1@845
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,19.95,"('title',)",1@1666
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,19.95,"('title', 'manufacturer')",1@1666
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,,"('title', 'price')",1@1666
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,36.11,"('title',)",1@3021
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,36.11,"('title', 'manufacturer')",1@3021
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,,"('title', 'price')",1@3021
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,6.56,"('title',)",1@423
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,6.56,"('title', 'manufacturer')",1@423
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,,"('title', 'price')",1@423
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,43.99,"('title',)",1@2996
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,43.99,"('title', 'manufacturer')",1@2996
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,,"('title', 'price')",1@2996
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,14.9,"('title',)",1@2062
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,14.9,"('title', 'manufacturer')",1@2062
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),,,"('title', 'price')",1@2062
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,23.61,"('title',)",1@1655
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,23.61,"('title', 'manufacturer')",1@1655
instant immersion japanese ( audio book ) ( audio book ),,19.95,instant immersion japanese ( audio book ),topics entertainment,,"('title', 'price')",1@1655
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,79.95,"('title',)",0@858
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,,79.95,"('title', 'manufacturer')",0@858
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,109.95,"('title', 'price')",0@858
microsoft outlook 2007,microsoft,109.95,microsoft office outlook 2007,microsoft,99.95,"('title',)",0@511
