ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,originalRightId
adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe soundbooth cs3,,415.99,"('title',)",1@326
adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe soundbooth cs3,adobe,415.99,"('title', 'manufacturer')",1@326
adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe soundbooth cs3,,199.0,"('title', 'price')",1@326
adobe dreamweaver cs3,,415.99,adobe cs3 web premium,adobe,399.0,"('title',)",0@559
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],,399.0,"('manufacturer',)",0@559
adobe dreamweaver cs3,,415.99,adobe cs3 web premium,,399.0,"('title', 'manufacturer')",0@559
adobe dreamweaver cs3,,415.99,adobe cs3 web premium,adobe,1659.99,"('title', 'price')",0@559
adobe dreamweaver cs3,,415.99,adobe illustrator cs3 ( mac ),adobe,399.0,"('title',)",0@559
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],,399.0,"('manufacturer',)",0@559
adobe dreamweaver cs3,,415.99,adobe illustrator cs3 ( mac ),,399.0,"('title', 'manufacturer')",0@559
adobe dreamweaver cs3,,415.99,adobe illustrator cs3 ( mac ),adobe,599.0,"('title', 'price')",0@559
adobe dreamweaver cs3,,415.99,adobe flash cs3 professional ( mac ),adobe,399.0,"('title',)",0@559
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],,399.0,"('manufacturer',)",0@559
adobe dreamweaver cs3,,415.99,adobe flash cs3 professional ( mac ),,399.0,"('title', 'manufacturer')",0@559
adobe dreamweaver cs3,,415.99,adobe flash cs3 professional ( mac ),adobe,699.0,"('title', 'price')",0@559
adobe dreamweaver cs3,,415.99,adobe illustrator cs3 upgrade for mac,adobe,399.0,"('title',)",0@559
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],,399.0,"('manufacturer',)",0@559
adobe dreamweaver cs3,,415.99,adobe illustrator cs3 upgrade for mac,,399.0,"('title', 'manufacturer')",0@559
adobe dreamweaver cs3,,415.99,adobe illustrator cs3 upgrade for mac,adobe,206.99,"('title', 'price')",0@559
adobe dreamweaver cs3,,415.99,adobe indesign cs3 for mac,adobe,399.0,"('title',)",0@559
adobe dreamweaver cs3,,415.99,adobe dreamweaver cs3 [ mac ],,399.0,"('manufacturer',)",0@559
adobe dreamweaver cs3,,415.99,adobe indesign cs3 for mac,,399.0,"('title', 'manufacturer')",0@559
adobe dreamweaver cs3,,415.99,adobe indesign cs3 for mac,adobe,725.99,"('title', 'price')",0@559
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion spanish 2.0,,22.9,"('title',)",1@2143
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion spanish 2.0,topics entertainment,22.9,"('title', 'manufacturer')",1@2143
instant immersion translator deluxe 2.0,topics entertainment,49.99,instant immersion spanish 2.0,,29.99,"('title', 'price')",1@2143
