ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,originalRightId
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,"('Beer_Name',)",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,American Amber / Red Ale,7.40 %,"('Beer_Name', 'Brew_Factory_Name')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Rude Hippo Brewing Company,Barley Wine,7.40 %,"('Beer_Name', 'Style')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Rude Hippo Brewing Company,American Amber / Red Ale,10.30 %,"('Beer_Name', 'ABV')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,7.40 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,American Amber / Red Ale,10.30 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Rude Hippo Brewing Company,Barley Wine,10.30 %,"('Beer_Name', 'Style', 'ABV')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Big Texan Texas Red Amber Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,"('Beer_Name',)",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Big Texan Texas Red Amber Ale,Big Texan Brewery,American Amber / Red Ale,7.40 %,"('Beer_Name', 'Brew_Factory_Name')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Big Texan Texas Red Amber Ale,Rude Hippo Brewing Company,Amber Ale,7.40 %,"('Beer_Name', 'Style')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Big Texan Texas Red Amber Ale,Rude Hippo Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name', 'ABV')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Big Texan Texas Red Amber Ale,Big Texan Brewery,Amber Ale,7.40 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Big Texan Texas Red Amber Ale,Big Texan Brewery,American Amber / Red Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@3917
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Big Texan Texas Red Amber Ale,Rude Hippo Brewing Company,Amber Ale,4.50 %,"('Beer_Name', 'Style', 'ABV')",0@3917
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name',)",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Kettle House Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Mammoth Brewing Company,American Strong Ale,4.50 %,"('Beer_Name', 'Style')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Mammoth Brewing Company,American Amber / Red Ale,13 %,"('Beer_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Kettle House Brewing Company,American Amber / Red Ale,13 %,"('Brew_Factory_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Kettle House Brewing Company,American Strong Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Kettle House Brewing Company,American Amber / Red Ale,13 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Mammoth Brewing Company,American Strong Ale,13 %,"('Beer_Name', 'Style', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Kettle House Brewing Company,American Strong Ale,13 %,"('Brew_Factory_Name', 'Style', 'ABV')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kinetic Infrared Imperial Red Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name',)",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Kinetic Brewing Company,American Amber / Red Ale,4.50 %,"('Brew_Factory_Name',)",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name')",0@271
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Kinetic Infrared Imperial Red Ale,Mammoth Brewing Company,American Strong Ale,4.50 %,"('Beer_Name', 'Style')",0@271
