ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,originalRightId
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Tighthead Brewing Company,Barley Wine,10.30 %,"('Beer_Name',)",1@2425
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,Barley Wine,10.30 %,"('Beer_Name', 'Brew_Factory_Name')",1@2425
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Tighthead Brewing Company,American Amber / Red Ale,10.30 %,"('Beer_Name', 'Style')",1@2425
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Tighthead Brewing Company,Barley Wine,7.40 %,"('Beer_Name', 'ABV')",1@2425
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,10.30 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",1@2425
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,Barley Wine,7.40 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",1@2425
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Tighthead Brewing Company,American Amber / Red Ale,7.40 %,"('Beer_Name', 'Style', 'ABV')",1@2425
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Big Texan Brewery,Amber Ale,4.50 %,"('Beer_Name',)",1@419
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,Amber Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name')",1@419
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Big Texan Brewery,American Amber / Red Ale,4.50 %,"('Beer_Name', 'Style')",1@419
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Big Texan Brewery,Amber Ale,7.40 %,"('Beer_Name', 'ABV')",1@419
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",1@419
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,Amber Ale,7.40 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",1@419
Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,Honey Basil Amber,Big Texan Brewery,American Amber / Red Ale,7.40 %,"('Beer_Name', 'Style', 'ABV')",1@419
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Strong Ale,13 %,"('Beer_Name', 'Brew_Factory_Name')",1@1428
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Kettle House Brewing Company,American Strong Ale,4.50 %,"('Beer_Name', 'ABV')",1@1428
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,13 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",1@1428
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Strong Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",1@1428
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Kettle House Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name', 'Style', 'ABV')",1@1428
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Strong Ale,9.30 %,"('Beer_Name', 'Brew_Factory_Name')",1@1496
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,9.30 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",1@1496
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Strong Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",1@1496
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,Amber Ale,8.50 %,"('Beer_Name', 'Brew_Factory_Name')",1@812
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Big Bear Lake Brewing Company,Amber Ale,4.50 %,"('Beer_Name', 'ABV')",1@812
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,8.50 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",1@812
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,Amber Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",1@812
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,Imperial IPA,8.50 %,"('Beer_Name', 'Brew_Factory_Name')",1@2300
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,18th Street Brewery,Imperial IPA,4.50 %,"('Beer_Name', 'ABV')",1@2300
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,8.50 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",1@2300
Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,Imperial IPA,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'ABV')",1@2300
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,Tarraco Beer,Amber Ale,8.50 %,"('Beer_Name', 'Brew_Factory_Name')",1@812
Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,Jazz Beer Tarraco Amber,Big Bear Lake Brewing Company,Amber Ale,6.90 %,"('Beer_Name', 'ABV')",1@812
