ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,originalRightId
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,secure transaction processing in firm real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,"('title',)",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,"binto george , jayant r. haritsa",acm sigmod record,1995,"('authors',)",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1997,"('year',)",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,secure transaction processing in firm real-time database systems,"binto george , jayant r. haritsa",acm sigmod record,1995,"('title', 'authors')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,secure transaction processing in firm real-time database systems,&#214; zg &#252; r ulusoy,sigmod conference,1995,"('title', 'venue')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,secure transaction processing in firm real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1997,"('title', 'year')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,"binto george , jayant r. haritsa",sigmod conference,1995,"('authors', 'venue')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,"binto george , jayant r. haritsa",acm sigmod record,1997,"('authors', 'year')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,sigmod conference,1997,"('venue', 'year')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,secure transaction processing in firm real-time database systems,"binto george , jayant r. haritsa",sigmod conference,1995,"('title', 'authors', 'venue')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,secure transaction processing in firm real-time database systems,"binto george , jayant r. haritsa",acm sigmod record,1997,"('title', 'authors', 'year')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,secure transaction processing in firm real-time database systems,&#214; zg &#252; r ulusoy,sigmod conference,1997,"('title', 'venue', 'year')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,"binto george , jayant r. haritsa",sigmod conference,1997,"('authors', 'venue', 'year')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,"sang hyuk son , rasikan david , bhavani m. thuraisingham",acm sigmod record,1995,"('authors',)",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1996,"('year',)",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,improving timeliness in real-time secure database systems,"sang hyuk son , rasikan david , bhavani m. thuraisingham",acm sigmod record,1995,"('title', 'authors')",1@1614
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,improving timeliness in real-time secure database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1996,"('title', 'year')",1@1614
