,0
ele,0.009487666034155597
label,0.9962049335863378
lat,0.009487666034155597
lon,0.011385199240986717
ontology,0.009487666034155597
ele/label,0.9962049335863378
ele/lat,0.009487666034155597
ele/lon,0.011385199240986717
ele/ontology,0.009487666034155597
label/lat,0.9981024667931688
label/lon,0.9981024667931688
label/ontology,0.9962049335863378
lat/lon,0.013282732447817837
lat/ontology,0.011385199240986717
lon/ontology,0.011385199240986717
ele/label/lat,0.9981024667931688
ele/label/lon,0.9981024667931688
ele/label/ontology,0.9962049335863378
ele/lat/lon,0.013282732447817837
ele/lat/ontology,0.011385199240986717
ele/lon/ontology,0.011385199240986717
label/lat/lon,1.0
label/lat/ontology,1.0
label/lon/ontology,1.0
lat/lon/ontology,0.015180265654648957
ele/label/lat/lon,1.0
ele/label/lat/ontology,1.0
ele/label/lon/ontology,1.0
ele/lat/lon/ontology,0.015180265654648957
label/lat/lon/ontology,1.0
