,0
ele,0.0
label,0.9848197343453511
lat,0.0
lon,0.0
ontology,0.0
ele/label,0.9848197343453511
ele/lat,0.0
ele/lon,0.0
ele/ontology,0.0
label/lat,0.9886148007590133
label/lon,0.9886148007590133
label/ontology,0.9867172675521821
lat/lon,0.003795066413662239
lat/ontology,0.0018975332068311196
lon/ontology,0.0018975332068311196
ele/label/lat,0.9886148007590133
ele/label/lon,0.9886148007590133
ele/label/ontology,0.9867172675521821
ele/lat/lon,0.003795066413662239
ele/lat/ontology,0.0018975332068311196
ele/lon/ontology,0.0018975332068311196
label/lat/lon,0.9905123339658444
label/lat/ontology,0.9886148007590133
label/lon/ontology,0.9905123339658444
lat/lon/ontology,0.003795066413662239
ele/label/lat/lon,0.9905123339658444
ele/label/lat/ontology,0.9886148007590133
ele/label/lon/ontology,0.9905123339658444
ele/lat/lon/ontology,0.003795066413662239
label/lat/lon/ontology,0.9905123339658444
