ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,originalRightId
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printer accessories,hp,,290.16,"('title',)",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printer accessories,hp,q3675a,290.16,"('modelno',)",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printers,hp,,290.16,"('title', 'category')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printer accessories,hp,,290.16,"('title', 'brand')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printer accessories,hp,q3675a,290.16,"('title', 'modelno')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printer accessories,hp,,194.84,"('title', 'price')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printers,hp,q3675a,290.16,"('category', 'modelno')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printer accessories,hp,q3675a,290.16,"('brand', 'modelno')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printer accessories,hp,q3675a,194.84,"('modelno', 'price')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printers,hp,,290.16,"('title', 'category', 'brand')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printers,hp,q3675a,290.16,"('title', 'category', 'modelno')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printers,hp,,194.84,"('title', 'category', 'price')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printer accessories,hp,q3675a,290.16,"('title', 'brand', 'modelno')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printer accessories,hp,,194.84,"('title', 'brand', 'price')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printer accessories,hp,q3675a,194.84,"('title', 'modelno', 'price')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printers,hp,q3675a,290.16,"('category', 'brand', 'modelno')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printers,hp,q3675a,194.84,"('category', 'modelno', 'price')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printer accessories,hp,q3675a,194.84,"('brand', 'modelno', 'price')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printers,hp,q3675a,290.16,"('title', 'category', 'brand', 'modelno')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printers,hp,,194.84,"('title', 'category', 'brand', 'price')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printers,hp,q3675a,194.84,"('title', 'category', 'modelno', 'price')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp q3675a image transfer kit,printer accessories,hp,q3675a,194.84,"('title', 'brand', 'modelno', 'price')",1@17199
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printers,hp,q3675a,194.84,"('category', 'brand', 'modelno', 'price')",1@17199
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,bluetooth usb 2.0 micro adapter dongle,usb network adapters,unknown,gbu421w6,1.32,"('modelno',)",1@13938
