ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,originalRightId
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printers,hp,,194.84,"('title', 'modelno')",0@1624
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printer accessories,hp,,194.84,"('title', 'category', 'modelno')",0@1624
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printers,hp,,194.84,"('title', 'brand', 'modelno')",0@1624
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printers,hp,,290.16,"('title', 'modelno', 'price')",0@1624
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printer accessories,hp,,194.84,"('title', 'category', 'brand', 'modelno')",0@1624
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printer accessories,hp,,290.16,"('title', 'category', 'modelno', 'price')",0@1624
hewlett packard q3675a image transfer kit for hp color laserjet 4650,cleaning repair,hp,q3675a,,hp c8555a - c8555a image transfer kit,printers,hp,,290.16,"('title', 'brand', 'modelno', 'price')",0@1624
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,iogear gbu421w6 bluetooth usb micro adapter,networking,iogear,,14.84,"('modelno',)",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,bluetooth usb 2.0 micro adapter dongle,networking,iogear,,14.84,"('title', 'modelno')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,iogear gbu421w6 bluetooth usb micro adapter,usb network adapters,iogear,,14.84,"('category', 'modelno')",0@470
iogear bluetooth usb 2.1 micro adapter with tri-language package black,computers accessories,iogear,gbu421w6,15.17,iogear gbu421w6 bluetooth usb micro adapter,networking,unknown,,14.84,"('brand', 'modelno')",0@470
