,0
title,0.22388059701492538
category,0.04477611940298507
brand,0.05970149253731343
modelno,0.7910447761194029
price,0.03731343283582089
title/category,0.22388059701492538
title/brand,0.23134328358208955
title/modelno,0.8731343283582089
title/price,0.23880597014925373
category/brand,0.05223880597014925
category/modelno,0.7910447761194029
category/price,0.03731343283582089
brand/modelno,0.7910447761194029
brand/price,0.03731343283582089
modelno/price,0.7985074626865671
title/category/brand,0.2462686567164179
title/category/modelno,0.8731343283582089
title/category/price,0.20149253731343283
title/brand/modelno,0.8731343283582089
title/brand/price,0.23880597014925373
title/modelno/price,0.8805970149253731
category/brand/modelno,0.7910447761194029
category/brand/price,0.03731343283582089
category/modelno/price,0.7985074626865671
brand/modelno/price,0.7910447761194029
title/category/brand/modelno,0.8731343283582089
title/category/brand/price,0.20149253731343283
title/category/modelno/price,0.8805970149253731
title/brand/modelno/price,0.8880597014925373
category/brand/modelno/price,0.7910447761194029
