,0
title,0.208955223880597
category,0.11194029850746269
brand,0.11940298507462686
modelno,0.7985074626865671
price,0.12686567164179105
title/category,0.208955223880597
title/brand,0.20149253731343283
title/modelno,0.9626865671641791
title/price,0.208955223880597
category/brand,0.11940298507462686
category/modelno,0.7611940298507462
category/price,0.12686567164179105
brand/modelno,0.7985074626865671
brand/price,0.12686567164179105
modelno/price,0.753731343283582
title/category/brand,0.20149253731343283
title/category/modelno,0.9626865671641791
title/category/price,0.208955223880597
title/brand/modelno,0.9626865671641791
title/brand/price,0.208955223880597
title/modelno/price,0.9477611940298507
category/brand/modelno,0.7611940298507462
category/brand/price,0.12686567164179105
category/modelno/price,0.7686567164179104
brand/modelno/price,0.7761194029850746
title/category/brand/modelno,0.9626865671641791
title/category/brand/price,0.208955223880597
title/category/modelno/price,0.9402985074626866
title/brand/modelno/price,0.9552238805970149
category/brand/modelno/price,0.7761194029850746
